web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639401193-1819;https://www.sociolla.com/178-moisturizer?page=37;;https://www.sociolla.com/face-mist/25946-healthy-glow-face-mist-rose-soothing;Jarte Beauty;Healthy Glow Face Mist Rose Soothing;Healthy Glow Face Mist Rose Soothing;Rp95.000;04.04;-5;4;Yes (3);No (1);Maybe (1)
1639402650-2022;https://www.sociolla.com/178-moisturizer?page=23;;https://www.sociolla.com/face-cream-lotion/15631-365-red-cream;AHC;365 Red Cream;Skincare;Rp 607.500Rp 516.375;null;null;null;Yes (14);No (1);Maybe (3)
1639403225-2100;https://www.sociolla.com/178-moisturizer?page=18;;https://www.sociolla.com/face-cream-lotion/10444-atoderm-huile-de-douche;Bioderma;Atoderm Huile De Douche;Atoderm Huile De Douche;Rp 225.500Rp 180.400;04.05;-45;41;Yes (36);No (4);Maybe (5)
1639402957-2063;https://www.sociolla.com/178-moisturizer?page=20;;https://www.sociolla.com/face-cream-lotion/9665-rich-moist-soothing-cream;Dear Klairs;Rich Moist Soothing Cream;Rich Moist Soothing Cream;Rp345.000;04.03;-98;88;Yes (57);No (11);Maybe (30)
1639404205-2241;https://www.sociolla.com/178-moisturizer?page=9;;https://www.sociolla.com/face-gel/28499-snail-intensive-soothing-gel;SNP;Snail  Intensive Soothing Gel;Snail  Intensive Soothing Gel;Rp 100.000Rp 85.000;04.07;-47;39;Yes (39);No (3);Maybe (5)
1639401614-1883;https://www.sociolla.com/178-moisturizer?page=32;;https://www.sociolla.com/face-oil/16079-jojoba-oil;Kleveru;Jojoba Oil;Jojoba Oil;Rp 93.500Rp 88.825;04.04;-164;143;Yes (83);No (29);Maybe (52)
1639404886-2344;https://www.sociolla.com/178-moisturizer?page=3;;https://www.sociolla.com/face-cream-lotion/16134-crystallure-superme-activating-overnight-cream;Wardah;Crystallure Superme Activating Overnight Cream;Crystallure Superme Activating Overnight Cream;Rp240.000;04.04;-54;43;Yes (30);No (7);Maybe (17)
1639401758-1900;https://www.sociolla.com/178-moisturizer?page=31;;https://www.sociolla.com/face-cream-lotion/24947-mediu-ac-relaxing-cream;Leaders;Mediu Ac Relaxing Cream;Mediu Ac Relaxing Cream;Rp139.000;04.05;-1;1;Yes (0);No (0);Maybe (1)
1639403401-2125;https://www.sociolla.com/178-moisturizer?page=16;;https://www.sociolla.com/face-oil/14801-almond-oil;Haple;Almond Oil;Almond Oil;Rp 59.000Rp 47.200;04.03;-315;271;Yes (148);No (67);Maybe (100)
1639401083-1800;https://www.sociolla.com/178-moisturizer?page=39;;https://www.sociolla.com/face-gel/13261-brightening-night-moisturizing-gel;Rubiena;Brightening Night Moisturizing Gel;Brightening Night Moisturizing Gel;Rp125.000;null;null;null;null;null;null
1639401907-1923;https://www.sociolla.com/178-moisturizer?page=30;;https://www.sociolla.com/face-cream-lotion/13770-blueberry-hydrating-intensive-cream;Frudia;Blueberry Hydrating Intensive Cream;Blueberry Hydrating Intensive Cream;Rp430.000;04.01;-9;8;Yes (3);No (3);Maybe (3)
1639403015-2071;https://www.sociolla.com/178-moisturizer?page=20;;https://www.sociolla.com/face-cream-lotion/59250-madecasssoside-cica-cream-2x;A'pieu;Madecasssoside Cica Cream 2X;Madecasssoside Cica Cream 2X;Rp 260.000Rp 234.000;05.00;-5;4;Yes (5);No (0);Maybe (0)
1639403851-2188;https://www.sociolla.com/178-moisturizer?page=12;;https://www.sociolla.com/face-cream-lotion/24156-starting-treatment-cream;Secret Key;Starting Treatment Cream;Starting Treatment Cream;Rp 249.000Rp 174.300;04.04;-33;28;Yes (22);No (2);Maybe (9)
1639401367-1849;https://www.sociolla.com/178-moisturizer?page=36;;https://www.sociolla.com/face-cream-lotion/54310-hydro-aid-moisturizing-soothing-cream;Sulwhasoo;Hydro-aid Moisturizing Soothing Cream;Hydro-aid Moisturizing Soothing Cream;Rp 1.350.000Rp 1.012.500;04.08;-1;1;Yes (1);No (0);Maybe (0)
1639404200-2240;https://www.sociolla.com/178-moisturizer?page=9;;https://www.sociolla.com/face-cream-lotion/10731-acnederm-night-treatment-moisturizer;Wardah;Acnederm Night Treatment Moisturizer;Acnederm Night Treatment Moisturizer;Rp33.500;04.04;-287;241;Yes (178);No (42);Maybe (67)
1639401914-1924;https://www.sociolla.com/178-moisturizer?page=30;;https://www.sociolla.com/face-cream-lotion/56856-evivesse-day-cream-spf25;Revlon;Evivesse Day Cream SPF25++;Evivesse Day Cream SPF25++;Rp 290.000Rp 217.500;04.05;-2;2;Yes (2);No (0);Maybe (0)
1639403494-2138;https://www.sociolla.com/178-moisturizer?page=15;;https://www.sociolla.com/face-cream-lotion/4377-c-defense-dd-cream-20ml-;Wardah;C-Defense DD Cream 20ML;C-Defense DD Cream 20ML;Rp31.500;04.03;(4k);3528;Yes (2,1k);No (793);Maybe (1,2k)
1639402515-2005;https://www.sociolla.com/178-moisturizer?page=24;;https://www.sociolla.com/face-mist/60441-calm-hydrate-lavender-toning-mist;TROPE Cosmetics;Calm + Hydrate Lavender Toning Mist;Calm + Hydrate Lavender Toning Mist;Rp 185.000Rp 138.750;null;null;null;null;null;null
1639401001-1787;https://www.sociolla.com/178-moisturizer?page=39;;https://www.sociolla.com/face-mist/26454-pomegranate-nutri-moisturizing-cream-in-mist;Frudia;Pomegranate Nutri Moisturizing Cream in Mist;Pomegranate Nutri Moisturizing Cream in Mist;Rp300.000;null;null;null;null;null;null
1639402429-1994;https://www.sociolla.com/178-moisturizer?page=24;;https://www.sociolla.com/face-cream-lotion/13022-indian-fig-finishing-dream-cream-65-gr;Sensatia Botanicals;Indian Fig Finishing Dream Cream - 65 gr;Indian Fig Finishing Dream Cream - 65 gr;Rp 240.000Rp 192.000;04.04;-26;23;Yes (18);No (2);Maybe (6)
1639404061-2219;https://www.sociolla.com/178-moisturizer?page=10;;https://www.sociolla.com/face-cream-lotion/59571-2-bakuchiol-night-cream;Lacoco;2% Bakuchiol Night Cream;2% Bakuchiol Night Cream;Rp180.000;04.06;-9;5;Yes (6);No (1);Maybe (2)
1639404654-2307;https://www.sociolla.com/178-moisturizer?page=5;;https://www.sociolla.com/face-cream-lotion/28008-regenerist-whip-active-moisturizer-uv-krim;Olay;Regenerist Whip Active Moisturizer UV Krim;Regenerist Whip Active Moisturizer UV Krim;Rp299.000;04.06;-4;4;Yes (4);No (0);Maybe (0)
1639401751-1899;https://www.sociolla.com/178-moisturizer?page=31;;https://www.sociolla.com/face-oil/14613-sandalwood-dream-facial-hydrate;Sensatia Botanicals;Sandalwood Dream Facial Hydrate;Sandalwood Dream Facial Hydrate;Rp 165.000Rp 132.000;04.04;-6;5;Yes (4);No (1);Maybe (1)
1639402795-2041;https://www.sociolla.com/178-moisturizer?page=22;;https://www.sociolla.com/face-mist/11833-bulgarian-rose-mist-serum;HEIMISH;Bulgarian Rose Mist Serum;Bulgarian Rose Mist Serum;Rp 380.000Rp 228.000;04.02;-24;19;Yes (11);No (6);Maybe (7)
1639402023-1938;https://www.sociolla.com/178-moisturizer?page=29;;https://www.sociolla.com/face-cream-lotion/52941-very-gentle-moist-cream;null;;null;null;null;null;null;null;null;null
1639404536-2291;https://www.sociolla.com/178-moisturizer?page=6;;https://www.sociolla.com/face-mist/54042-ariul-7-days-floral-mist-150ml;Ariul;7 Days Floral Mist;7 Days Floral Mist;Rp 119.000Rp 89.250;04.05;-34;23;Yes (15);No (4);Maybe (15)
1639401723-1897;https://www.sociolla.com/178-moisturizer?page=32;;https://www.sociolla.com/face-oil/16964-tea-tree-and-lemon-facial-hydrate;Sensatia Botanicals;Tea Tree & Lemon Facial Hydrate;Tea Tree & Lemon Facial Hydrate;Rp165.000;04.05;-2;2;Yes (1);No (1);Maybe (0)
1639404494-2284;https://www.sociolla.com/178-moisturizer?page=6;;https://www.sociolla.com/face-cream-lotion/2627-hydrabio-tonique-250ml;Bioderma;Hydrabio Tonique 250ml;Hydrabio Tonique 250ml;Rp 275.000Rp 220.000;04.04;-222;211;Yes (139);No (33);Maybe (50)
1639401792-1905;https://www.sociolla.com/178-moisturizer?page=31;;https://www.sociolla.com/face-cream-lotion/56833-moringa-nourishing-cream;MoRR;Moringa Nourishing Cream;Moringa Nourishing Cream;Rp259.000;03.07;-5;3;Yes (3);No (2);Maybe (0)
1639402156-1957;https://www.sociolla.com/178-moisturizer?page=28;;https://www.sociolla.com/face-cream-lotion/25146-vital-vitamin-cream;Mamonde;Vital Vitamin Cream;Vital Vitamin Cream;Rp 425.000Rp 297.500;04.04;-3;2;Yes (2);No (1);Maybe (0)
