web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639402910-2057;https://www.sociolla.com/178-moisturizer?page=21;;https://www.sociolla.com/face-cream-lotion/47692-illuminating-night-cloud-creme;WESTCARE;Illuminating Night Cloud Crème;Illuminating Night Cloud Crème;Rp 300.000Rp 210.000;05.00;-3;3;Yes (3);No (0);Maybe (0)
1639402337-1982;https://www.sociolla.com/178-moisturizer?page=25;;https://www.sociolla.com/face-cream-lotion/15949-cream-skin-refiner-mini-set-or19;Laneige;Cream Skin Refiner Mini Set (OR19);Cream Skin Refiner Mini Set (OR19);Rp700.000;04.06;-20;17;Yes (14);No (0);Maybe (6)
1639404910-2347;https://www.sociolla.com/178-moisturizer?page=2;;https://www.sociolla.com/face-cream-lotion/10276-advanced-snail-92-all-in-one-cream;COSRX;Advanced Snail 92 All in One Cream;Advanced Snail 92 All in One Cream;Rp 305.000Rp 213.500;04.04;(1,7k);1467;Yes (1,1k);No (169);Maybe (402)
1639402864-2050;https://www.sociolla.com/178-moisturizer?page=21;;https://www.sociolla.com/face-cream-lotion/59365-pomegranate-night-cream;null;;null;null;null;null;null;null;null;null
1639403560-2148;https://www.sociolla.com/178-moisturizer?page=15;;https://www.sociolla.com/face-cream-lotion/56916-bright-radiance-night-cream;Raiku;Bright Radiance Night Cream;Bright Radiance Night Cream;Rp 128.000Rp 102.400;04.07;-127;119;Yes (101);No (2);Maybe (24)
1639403936-2201;https://www.sociolla.com/178-moisturizer?page=12;;https://www.sociolla.com/face-cream-lotion/59691-hyaluronic-dewy-radiance-emulsion;AHC;Hyaluronic Dewy Radiance Emulsion;Hyaluronic Dewy Radiance Emulsion;Rp 375.000Rp 337.500;null;null;null;null;null;null
1639403245-2103;https://www.sociolla.com/178-moisturizer?page=18;;https://www.sociolla.com/face-cream-lotion/28021-total-effects-7in1-day-cream-normal-spf-15;Olay;Total Effects 7in1 Day Cream Normal SPF 15;Total Effects 7in1 Day Cream Normal SPF 15;Rp 149.900Rp 119.920;04.05;-24;20;Yes (15);No (4);Maybe (5)
1639401741-1898;https://www.sociolla.com/178-moisturizer?page=31;;https://www.sociolla.com/face-cream-lotion/28218-total-effects-whip-active-moisturizer-uv-krim;Olay;Total Effects Whip Active Moisturizer UV Krim;Total Effects Whip Active Moisturizer UV Krim;Rp299.000;null;null;null;null;null;null
1639403449-2132;https://www.sociolla.com/178-moisturizer?page=16;;https://www.sociolla.com/face-cream-lotion/28011-total-effects-7in1-day-cream-gentle;Olay;Total Effects 7in1 Day Cream Gentle;Total Effects 7in1 Day Cream Gentle;Rp 149.900Rp 125.916;04.07;-24;22;Yes (18);No (1);Maybe (5)
1639401357-1848;https://www.sociolla.com/178-moisturizer?page=36;;https://www.sociolla.com/face-gel/15839-cicapair-calming-gel-cream;Dr Jart;Cicapair Calming Gel Cream;Cicapair Calming Gel Cream;Rp 490.000Rp 441.000;04.07;-8;7;Yes (6);No (0);Maybe (2)
1639401061-1796;https://www.sociolla.com/178-moisturizer?page=39;;https://www.sociolla.com/face-gel/49605-white-jelly-pack;J.One;White Jelly Pack;White Jelly Pack;;04.09;-3;3;Yes (3);No (0);Maybe (0)
1639403464-2134;https://www.sociolla.com/178-moisturizer?page=16;;https://www.sociolla.com/face-cream-lotion/28012-total-effects-7in1-day-cream-gentle-spf-15;Olay;Total Effects 7in1 Day Cream Gentle SPF 15;Total Effects 7in1 Day Cream Gentle SPF 15;Rp 149.900Rp 125.916;04.03;-18;15;Yes (11);No (2);Maybe (5)
1639404524-2289;https://www.sociolla.com/178-moisturizer?page=6;;https://www.sociolla.com/face-cream-lotion/12727-age-defy-day-emulsion-spf-25-pa;Safi;Age Defy Day Emulsion SPF 25 PA++;Age Defy Day Emulsion SPF 25 PA++;Rp 87.000 - Rp 138.900Rp 69.600 - Rp 109.731;04.02;-144;121;Yes (78);No (30);Maybe (36)
1639404916-2348;https://www.sociolla.com/178-moisturizer?page=2;;https://www.sociolla.com/face-cream-lotion/13928-erha-age-corrector-day-moisturizer;Erha;Age Corrector Day Cream 30g - Peptides & Hyaluronate;Age Corrector Day Cream 30g - Peptides & Hyaluronate;Rp 185.900Rp 159.874;04.05;-30;29;Yes (20);No (1);Maybe (9)
1639405029-2366;https://www.sociolla.com/178-moisturizer?page=1;;https://www.sociolla.com/face-mist/14805-pure-rose-water;Haple;Pure Rose Water;Pure Rose Water;Rp 39.000 - Rp 87.500Rp 31.200 - Rp 70.000;04.06;(1,5k);1347;Yes (1k);No (103);Maybe (320)
1639404904-2346;https://www.sociolla.com/178-moisturizer?page=2;;https://www.sociolla.com/face-mist/8992-flawless-priming-water;Studio Tropik;Flawless Priming Water;Flawless Priming Water;Rp 108.900Rp 99.099;04.06;(1,4k);1343;Yes (1,1k);No (52);Maybe (193)
1639402089-1947;https://www.sociolla.com/178-moisturizer?page=28;;https://www.sociolla.com/face-cream-lotion/59016-h7-hydro-max-cream;Some By Mi;H7 Hydro Max Cream;H7 Hydro Max Cream;Rp380.000;04.09;-2;0;Yes (2);No (0);Maybe (0)
1639402228-1967;https://www.sociolla.com/178-moisturizer?page=27;;https://www.sociolla.com/face-oil/11120-cleopatras-rose-facial-hydrate;Sensatia Botanicals;Cleopatras Rose Facial Hydrate;Cleopatras Rose Facial Hydrate;Rp 165.000Rp 132.000;04.05;-34;31;Yes (23);No (5);Maybe (6)
1639401406-1854;https://www.sociolla.com/178-moisturizer?page=34;;https://www.sociolla.com/face-oil/8103-argan-oil;Utama Spice;Argan Oil;Argan Oil;Rp 126.500Rp 75.900;04.02;-27;24;Yes (16);No (2);Maybe (9)
1639403139-2088;https://www.sociolla.com/178-moisturizer?page=19;;https://www.sociolla.com/face-cream-lotion/10488-hydrating-moisturizer-cream;Elsheskin;Hydrating Moisturizer Cream;Hydrating Moisturizer Cream;Rp 87.000Rp 85.260;04.03;-271;234;Yes (144);No (39);Maybe (88)
1639401416-1856;https://www.sociolla.com/178-moisturizer?page=34;;https://www.sociolla.com/face-cream-lotion/15931-sekkisei-supreme-revitalizing-cream-i;KOSE;Sekkisei Supreme Revitalizing Cream I;Sekkisei Supreme Revitalizing Cream I;Rp889.000;04.09;-2;2;Yes (1);No (0);Maybe (1)
1639404752-2322;https://www.sociolla.com/178-moisturizer?page=4;;https://www.sociolla.com/face-oil/57402-bio-beauty-lab-luxurious-face-oil-twinpack-5-ml;Bio Beauty Lab;Bio Beauty Lab Luxurious Face Oil Twinpack - 5 ml;Bio Beauty Lab Luxurious Face Oil Twinpack - 5 ml;Rp 240.000Rp 223.200;null;null;null;null;null;null
1639404500-2285;https://www.sociolla.com/178-moisturizer?page=6;;https://www.sociolla.com/face-cream-lotion/55048-scarlett-brightly-ever-after-day-cream;Scarlett Whitening;Scarlett Whitening Brightly Ever After Day Cream;Scarlett Whitening Brightly Ever After Day Cream;Rp 82.500Rp 74.250;04.06;-294;239;Yes (218);No (19);Maybe (57)
1639401849-1914;https://www.sociolla.com/178-moisturizer?page=30;;https://www.sociolla.com/face-cream-lotion/12794-waso-clear-mega-hydrating-cream;Shiseido;WASO Clear Mega-Hydrating Cream;WASO Clear Mega-Hydrating Cream;Rp555.000;null;null;null;null;null;null
1639402277-1974;https://www.sociolla.com/178-moisturizer?page=27;;https://www.sociolla.com/face-cream-lotion/12395-banila-co-dear-hydration-boosting-cream;banila co.;Banila Co Dear Hydration Boosting Cream;Banila Co Dear Hydration Boosting Cream;Rp440.000;04.03;-11;11;Yes (5);No (0);Maybe (6)
1639401188-1818;https://www.sociolla.com/178-moisturizer?page=37;;https://www.sociolla.com/face-cream-lotion/10077-anti-aging-morning-cream-spf-15;Raiku;Anti Aging Morning Cream Spf 15;Anti Aging Morning Cream Spf 15;Rp 98.000Rp 78.400;04.01;-68;58;Yes (34);No (20);Maybe (14)
1639402373-1987;https://www.sociolla.com/178-moisturizer?page=25;;https://www.sociolla.com/face-cream-lotion/17104-cellus-deep-moisture-cream;Lagom;Cellus Deep Moisture Cream;Cellus Deep Moisture Cream;Rp 490.000Rp 294.000;04.07;-18;17;Yes (12);No (1);Maybe (5)
1639404027-2214;https://www.sociolla.com/178-moisturizer?page=11;;https://www.sociolla.com/face-oil/14803-avocado-oil;Haple;Avocado Oil;Avocado Oil;Rp 59.000Rp 47.200;04.05;-101;85;Yes (65);No (13);Maybe (23)
1639401836-1912;https://www.sociolla.com/178-moisturizer?page=31;;https://www.sociolla.com/face-cream-lotion/13289-pressed-serum-gold-apricot;BLITHE;Pressed Serum Gold Apricot;Pressed Serum Gold Apricot;Rp800.000;04.05;-4;4;Yes (3);No (0);Maybe (1)
1639403361-2120;https://www.sociolla.com/178-moisturizer?page=17;;https://www.sociolla.com/skincare/53931-golden-age-revitalizing-night-cream;YOU Makeups;Golden Age Revitalizing Night Cream;Golden Age Revitalizing Night Cream;Rp 59.000 - Rp 125.000Rp 50.150 - Rp 106.250;04.03;-15;11;Yes (7);No (2);Maybe (6)
1639401974-1931;https://www.sociolla.com/178-moisturizer?page=29;;https://www.sociolla.com/face-cream-lotion/57502-saharan-snow-drop;Votre Peau;Saharan Snow Drop;Skincare;Rp 165.000Rp 107.250;04.05;-2;2;Yes (1);No (0);Maybe (1)
1639402592-2015;https://www.sociolla.com/178-moisturizer?page=23;;https://www.sociolla.com/face-cream-lotion/28217-total-effects-whip-active-moisturizer-krim;Olay;Total Effects Whip Active Moisturizer Krim;Total Effects Whip Active Moisturizer Krim;Rp299.000;03.08;-2;2;Yes (0);No (1);Maybe (1)
1639402142-1955;https://www.sociolla.com/178-moisturizer?page=28;;https://www.sociolla.com/face-cream-lotion/58405-honey-royalactin-glow-cream;Holika Holika;Honey Royalactin Glow Cream;Honey Royalactin Glow Cream;Rp 428.000Rp 342.400;null;null;null;null;null;null
1639402388-1989;https://www.sociolla.com/178-moisturizer?page=25;;https://www.sociolla.com/face-cream-lotion/4373-creamy-milk-cleansing-lotion;Emina;Creamy Milk Cleansing Lotion;Creamy Milk Cleansing Lotion;Rp23.000;04.02;-354;277;Yes (155);No (85);Maybe (114)
1639402636-2020;https://www.sociolla.com/178-moisturizer?page=23;;https://www.sociolla.com/face-mist/16447-beauty-face-mist-aloe-vera;Herborist;Beauty Face Mist Aloe Vera;Skincare;Rp 27.400Rp 16.440;04.04;-98;85;Yes (53);No (11);Maybe (34)
1639404773-2325;https://www.sociolla.com/178-moisturizer?page=4;;https://www.sociolla.com/face-cream-lotion/16544-sky-rose-moisturizer;Haple;Sky Rose Moisturizer;Sky Rose Moisturizer;Rp 99.000Rp 79.200;04.04;-229;189;Yes (115);No (45);Maybe (69)
1639402491-2002;https://www.sociolla.com/178-moisturizer?page=24;;https://www.sociolla.com/face-cream-lotion/62179-erha-age-corrector-peptide-and-amino-acid-firming-neck-cream;Erha;ERHA Age Corrector Peptide & Amino Acid Firming Neck Cream;ERHA Age Corrector Peptide & Amino Acid Firming Neck Cream;Rp149.000;null;null;null;null;null;null
1639401824-1910;https://www.sociolla.com/178-moisturizer?page=31;;https://www.sociolla.com/face-oil/14612-neroli-blossom-facial-hydrate;Sensatia Botanicals;Neroli Blossom Facial Hydrate;Neroli Blossom Facial Hydrate;Rp 165.000Rp 132.000;04.04;-3;3;Yes (2);No (0);Maybe (1)
1639402572-2012;https://www.sociolla.com/178-moisturizer?page=23;;https://www.sociolla.com/face-mist/61226-hit-refresh-energizing-face-mist;Hale;Hit Refresh, Energizing Face Mist;Hit Refresh, Energizing Face Mist;Rp89.000;04.05;-2;0;Yes (1);No (1);Maybe (0)
1639404481-2282;https://www.sociolla.com/178-moisturizer?page=6;;https://www.sociolla.com/face-mist/14808-licorice-water;Haple;Licorice Water;Licorice Water;Rp 49.000Rp 39.200;04.05;-317;273;Yes (187);No (46);Maybe (84)
1639401868-1917;https://www.sociolla.com/178-moisturizer?page=30;;https://www.sociolla.com/face-cream-lotion/28026-white-radiance-whip-active-moisturiser-krim;Olay;White Radiance Whip Active Moisturiser krim;White Radiance Whip Active Moisturiser krim;Rp79.900;null;null;null;null;null;null
1639401224-1825;https://www.sociolla.com/178-moisturizer?page=37;;https://www.sociolla.com/face-cream-lotion/55009-lng-water-bank-hydro-cream-ex-ol21;Laneige;LNG Water Bank Hydro Cream EX (OL21);LNG Water Bank Hydro Cream EX (OL21);Rp 622.500Rp 400.000;04.07;-5;2;Yes (4);No (0);Maybe (1)
1639401531-1874;https://www.sociolla.com/178-moisturizer?page=33;;https://www.sociolla.com/face-cream-lotion/23779-bright-stuff-for-acne-prone-skin-moisturizing-cream;Emina;Bright Stuff For Acne Prone Skin Moisturizing Cream;Bright Stuff For Acne Prone Skin Moisturizing Cream;;04.06;-353;318;Yes (217);No (42);Maybe (94)
1639401147-1811;https://www.sociolla.com/178-moisturizer?page=38;;https://www.sociolla.com/face-cream-lotion/10078-anti-aging-night-cream;Raiku;Anti Aging Night Cream;Anti Aging Night Cream;Rp98.000;04.02;-108;93;Yes (56);No (18);Maybe (34)
1639401457-1863;https://www.sociolla.com/178-moisturizer?page=34;;https://www.sociolla.com/face-mist/27491-face-mist;Padison;Face Mist;Face Mist;Rp 114.900Rp 57.450;04.04;-2;1;Yes (1);No (1);Maybe (0)
1639401503-1869;https://www.sociolla.com/178-moisturizer?page=33;;https://www.sociolla.com/face-cream-lotion/7380-shirojyun-ultimate-whitening-milk;Hada Labo;Shirojyun Ultimate Whitening Milk;Shirojyun Ultimate Whitening Milk;Rp61.380;04.02;-571;454;Yes (287);No (149);Maybe (135)
1639402039-1940;https://www.sociolla.com/178-moisturizer?page=29;;https://www.sociolla.com/face-cream-lotion/33840-regenerist-revitalising-hydration-uv-cream;Olay;Regenerist Revitalising Hydration UV Cream;Regenerist Revitalising Hydration UV Cream;Rp198.000;04.02;-7;7;Yes (3);No (2);Maybe (2)
1639404431-2275;https://www.sociolla.com/178-moisturizer?page=7;;https://www.sociolla.com/face-cream-lotion/11823-snail-bee-high-content-lotion;Benton;Snail Bee High Content Lotion;Snail Bee High Content Lotion;Rp 280.000Rp 168.000;04.03;-561;475;Yes (305);No (109);Maybe (147)
1639401469-1865;https://www.sociolla.com/178-moisturizer?page=34;;https://www.sociolla.com/face-cream-lotion/13413-whitening-cream-all-day-lasting-whitening-skintone-whitening-and-wrinkle-care;Osho;Whitening Cream (All Day Lasting Whitening Skintone Whitening & Wrinkle Care);Skincare;Rp 350.000Rp 98.000;04.04;-32;28;Yes (17);No (4);Maybe (11)
1639403093-2081;https://www.sociolla.com/178-moisturizer?page=19;;https://www.sociolla.com/face-cream-lotion/25143-rose-water-gel-cream;Mamonde;Rose Water Gel Cream;Rose Water Gel Cream;Rp 275.000Rp 233.750;04.05;-35;34;Yes (24);No (5);Maybe (6)
1639401927-1926;https://www.sociolla.com/178-moisturizer?page=30;;https://www.sociolla.com/face-gel/12115-calendula-soothing-gel-mini-size;Skin Dewi;Calendula Soothing Gel (Mini Size);Calendula Soothing Gel (Mini Size);Rp110.000;03.08;-8;7;Yes (5);No (2);Maybe (1)
1639404294-2255;https://www.sociolla.com/178-moisturizer?page=8;;https://www.sociolla.com/face-cream-lotion/25449-centella-green-level-recovery-cream;Purito;Centella Green Level Recovery Cream;Centella Green Level Recovery Cream;Rp 418.000Rp 271.700;04.05;-11;10;Yes (8);No (1);Maybe (2)
1639401141-1810;https://www.sociolla.com/178-moisturizer?page=38;;https://www.sociolla.com/face-cream-lotion/10993-cream;KOSE;Sekkisei Cream;Sekkisei Cream;Rp789.000;04.08;-7;6;Yes (5);No (1);Maybe (1)
1639402123-1952;https://www.sociolla.com/178-moisturizer?page=28;;https://www.sociolla.com/face-cream-lotion/9367-erha-21-erha-8-moisturizer-for-very-dry-skin;Erha;ERHA 8 Moisturizer For Very Dry Skin;ERHA 8 Moisturizer For Very Dry Skin;Rp 110.600Rp 97.328;04.04;-22;20;Yes (13);No (2);Maybe (7)
1639404100-2225;https://www.sociolla.com/178-moisturizer?page=10;;https://www.sociolla.com/face-cream-lotion/12313-cream-glow-awakening;Huxley;Cream Glow Awakening;Cream Glow Awakening;Rp 390.000Rp 234.000;04.04;-99;89;Yes (50);No (14);Maybe (35)
1639403380-2122;https://www.sociolla.com/178-moisturizer?page=16;;https://www.sociolla.com/face-cream-lotion/9773-snow-white-milky-lotion;Secret Key;Snow White Milky Lotion;Snow White Milky Lotion;Rp 219.000Rp 142.350;04.03;-64;61;Yes (41);No (10);Maybe (13)
1639403180-2093;https://www.sociolla.com/178-moisturizer?page=18;;https://www.sociolla.com/face-cream-lotion/13686-nutrition-cream;Pyunkang Yul;Nutrition Cream;Skincare;Rp 120.000 - Rp 500.000Rp 120.000 - Rp 300.000;04.05;-242;198;Yes (158);No (34);Maybe (50)
1639404263-2250;https://www.sociolla.com/178-moisturizer?page=8;;https://www.sociolla.com/face-mist/53572-greentea-water;Haple;Greentea Water;Greentea Water;Rp 49.000Rp 39.200;04.05;-43;26;Yes (23);No (9);Maybe (11)
1639402565-2011;https://www.sociolla.com/178-moisturizer?page=23;;https://www.sociolla.com/face-cream-lotion/16532-glowing-radiant-skin;Elsheskin;Glowing Radiant Skin;Glowing Radiant Skin;Rp 97.000Rp 95.060;04.03;-30;27;Yes (20);No (3);Maybe (7)
1639402293-1976;https://www.sociolla.com/178-moisturizer?page=27;;https://www.sociolla.com/face-gel/60244-vitamin-c-soothing-gel;PRETTY SKIN;VITAMIN C SOOTHING GEL;VITAMIN C SOOTHING GEL;Rp 77.000Rp 73.150;null;null;null;null;null;null
1639403534-2144;https://www.sociolla.com/178-moisturizer?page=15;;https://www.sociolla.com/face-oil/13993-certified-organic-rosehip-oil;Sukin;Certified Organic Rosehip Oil;Certified Organic Rosehip Oil;Rp 270.000 - Rp 425.000Rp 175.500 - Rp 318.750;04.04;-196;177;Yes (121);No (19);Maybe (56)
1639401508-1870;https://www.sociolla.com/178-moisturizer?page=33;;https://www.sociolla.com/face-cream-lotion/8035-white-secret-night-cream;Wardah;Crystal Secret Bright Activating Night Cream;Crystal Secret Bright Activating Night Cream;Rp 47.500 - Rp 103.000;04.03;-919;784;Yes (529);No (177);Maybe (213)
1639403294-2110;https://www.sociolla.com/178-moisturizer?page=17;;https://www.sociolla.com/face-cream-lotion/26772-vital-hydra-solution-biome-water-cream;Dr Jart;Vital Hydra Solution Biome Water Cream;Vital Hydra Solution Biome Water Cream;Rp 160.000 - Rp 535.000Rp 144.000 - Rp 481.500;04.00;-5;3;Yes (3);No (2);Maybe (0)
1639401514-1871;https://www.sociolla.com/178-moisturizer?page=33;;https://www.sociolla.com/face-cream-lotion/15869-refreshing-fluid;Acwell;Refreshing Fluid;Refreshing Fluid;Rp 290.000Rp 188.500;04.08;-3;2;Yes (3);No (0);Maybe (0)
1639401099-1802;https://www.sociolla.com/178-moisturizer?page=38;;https://www.sociolla.com/face-cream-lotion/10622-endless-bright-fairness-glow-night-cream;RIVERA;Endless Bright Fairness Glow Night Cream;Endless Bright Fairness Glow Night Cream;;03.08;-8;4;Yes (2);No (4);Maybe (2)
1639401219-1824;https://www.sociolla.com/178-moisturizer?page=37;;https://www.sociolla.com/face-cream-lotion/55019-lng-white-dew-tone-up-cream-50ml-ol21;Laneige;LNG White Dew Tone Up Cream 50ml (OL21);LNG White Dew Tone Up Cream 50ml (OL21);Rp 661.000Rp 448.000;04.01;-2;0;Yes (1);No (1);Maybe (0)
1639401306-1840;https://www.sociolla.com/178-moisturizer?page=36;;https://www.sociolla.com/face-mist/2675-facial-spray-150ml;Evian;Facial Spray 150ml;Facial Spray 150ml;Rp 200.000Rp 180.000;04.03;-317;308;Yes (190);No (45);Maybe (82)
1639402176-1960;https://www.sociolla.com/178-moisturizer?page=28;;https://www.sociolla.com/face-cream-lotion/60795-cica-niacin-brightening-uv-cream;Omniskin;Cica Niacin Brightening UV Cream;Cica Niacin Brightening UV Cream;Rp89.000;null;null;null;null;null;null
1639402717-2030;https://www.sociolla.com/178-moisturizer?page=22;;https://www.sociolla.com/face-cream-lotion/49263-kem-duong-aha-bha-pha-cream;Some By Mi;AHA-BHA-PHA 30 Days Miracle Cream;AHA-BHA-PHA 30 Days Miracle Cream;Rp470.000;04.05;-20;11;Yes (14);No (2);Maybe (4)
1639404082-2222;https://www.sociolla.com/178-moisturizer?page=10;;https://www.sociolla.com/face-cream-lotion/11805-cream-essential-anti-gravity;Huxley;Cream Essential;Cream Essential;Rp 390.000Rp 234.000;04.04;-162;135;Yes (93);No (29);Maybe (40)
1639404234-2246;https://www.sociolla.com/178-moisturizer?page=9;;https://www.sociolla.com/face-cream-lotion/24093-cica-day-cream-with-uv-protection;NPure;CICA Day Cream;CICA Day Cream;Rp 90.000 - Rp 115.000;04.08;-783;621;Yes (670);No (17);Maybe (96)
1639404786-2327;https://www.sociolla.com/178-moisturizer?page=4;;https://www.sociolla.com/face-gel/12326-balancing-gel;Pyunkang Yul;Balancing Gel;Balancing Gel;Rp 290.000 - Rp 460.000Rp 174.000 - Rp 276.000;04.03;-143;119;Yes (67);No (30);Maybe (46)
1639401022-1790;https://www.sociolla.com/178-moisturizer?page=39;;https://www.sociolla.com/face-cream-lotion/28022-white-radiance-brightening-uv-lotion;Olay;White Radiance Brightening UV Lotion;White Radiance Brightening UV Lotion;Rp149.900;null;null;null;null;null;null
1639401168-1815;https://www.sociolla.com/178-moisturizer?page=38;;https://www.sociolla.com/face-gel/11889-fresh-bamboo-soothing-gel-99;the saem;Fresh Bamboo Soothing Gel 99%;Fresh Bamboo Soothing Gel 99%;Rp159.000;04.06;-36;33;Yes (20);No (3);Maybe (13)
1639402071-1945;https://www.sociolla.com/178-moisturizer?page=29;;https://www.sociolla.com/face-mist/54981-lng-cream-skin-mist-120ml-ol21;Laneige;LNG Cream Skin Mist 120ml (OL21);LNG Cream Skin Mist 120ml (OL21);Rp 492.000Rp 280.000;03.09;-2;0;Yes (1);No (1);Maybe (0)
1639401843-1913;https://www.sociolla.com/178-moisturizer?page=31;;https://www.sociolla.com/face-cream-lotion/27432-ampoule-balm-white-truffle-eco-moisturizing-cream;d'Alba;Ampoule Balm White Truffle Eco Moisturizing Cream;Ampoule Balm White Truffle Eco Moisturizing Cream;Rp 730.000Rp 511.000;null;null;null;null;null;null
1639404372-2266;https://www.sociolla.com/178-moisturizer?page=7;;https://www.sociolla.com/face-cream-lotion/9365-erha-true-white-activator-night-cream;Erha;Truwhite Niacinamide & Starfish Essence Brightening Night Cream;Truwhite Niacinamide & Starfish Essence Brightening Night Cream;Rp 181.500Rp 159.720;04.03;-58;41;Yes (33);No (11);Maybe (14)
1639402485-2001;https://www.sociolla.com/178-moisturizer?page=24;;https://www.sociolla.com/face-cream-lotion/57886-pixy-glowssentials-tone-and-bright-cream;Pixy;PIXY Glowssentials Tone & Bright Cream;PIXY Glowssentials Tone & Bright Cream;Rp33.000;04.07;-22;19;Yes (19);No (2);Maybe (1)
1639404444-2277;https://www.sociolla.com/178-moisturizer?page=7;;https://www.sociolla.com/skincare/51161-antibacterial-face-mist-spray-with-refreshing-100-organic-rose-extract;Pond's;Antibacterial Face Mist Spray with Refreshing 100% Organic Rose Extract;Antibacterial Face Mist Spray with Refreshing 100% Organic Rose Extract;Rp 25.000Rp 18.750;04.06;-102;87;Yes (68);No (9);Maybe (25)
1639404067-2220;https://www.sociolla.com/178-moisturizer?page=10;;https://www.sociolla.com/face-cream-lotion/59570-2-bakuchiol-day-cream;Lacoco;2% Bakuchiol Day Cream;2% Bakuchiol Day Cream;Rp180.000;04.06;-6;3;Yes (2);No (1);Maybe (3)
1639401121-1806;https://www.sociolla.com/178-moisturizer?page=38;;https://www.sociolla.com/face-mist/26543-first-care-activating-serum-mist;Sulwhasoo;First Care Activating Serum Mist;First Care Activating Serum Mist;Rp550.000;null;null;null;null;null;null
1639404163-2234;https://www.sociolla.com/178-moisturizer?page=9;;https://www.sociolla.com/face-cream-lotion/12098-balancium-comfort-ceramide-cream;COSRX;Balancium Comfort Ceramide Cream;Balancium Comfort Ceramide Cream;Rp 340.000Rp 221.000;04.04;-90;80;Yes (51);No (9);Maybe (30)
1639404312-2258;https://www.sociolla.com/178-moisturizer?page=8;;https://www.sociolla.com/face-gel/25096-rose-water-soothing-gel;Mamonde;Rose Water Soothing Gel;Rose Water Soothing Gel;Rp 140.000Rp 112.000;04.05;-37;34;Yes (22);No (4);Maybe (11)
1639404721-2317;https://www.sociolla.com/178-moisturizer?page=4;;https://www.sociolla.com/face-mist/58690-rescue-rx-face-purifying-mist;Studio Tropik;Rescue RX - Antibacterial Face Mist;Rescue RX - Antibacterial Face Mist;Rp 108.900Rp 99.099;04.07;-69;48;Yes (59);No (1);Maybe (9)
1639401421-1857;https://www.sociolla.com/178-moisturizer?page=34;;https://www.sociolla.com/face-gel/27350-juice-collection-moisturizer-jar;Pond's;Juice Collection Moisturizer Jar;Juice Collection Moisturizer Jar;Rp 60.000Rp 46.800;04.07;-169;154;Yes (134);No (9);Maybe (26)
1639401131-1808;https://www.sociolla.com/178-moisturizer?page=38;;https://www.sociolla.com/face-gel/10403-all-in-one-gel-neri-gel;Cezanne;All in One Gel - Neri Gel;All in One Gel - Neri Gel;Rp299.000;04.00;-6;5;Yes (3);No (1);Maybe (2)
1639402056-1942;https://www.sociolla.com/178-moisturizer?page=29;;https://www.sociolla.com/face-cream-lotion/55139-cica-cream;VT Cosmetics;Cica Cream;Cica Cream;Rp 369.000Rp 287.820;04.06;-5;4;Yes (3);No (1);Maybe (1)
1639403251-2104;https://www.sociolla.com/178-moisturizer?page=18;;https://www.sociolla.com/face-cream-lotion/54753-hydrating-glow-morning-cream;Raiku;Hydrating Glow Morning Cream;Hydrating Glow Morning Cream;Rp 128.000Rp 102.400;04.08;-183;177;Yes (154);No (1);Maybe (28)
1639402964-2064;https://www.sociolla.com/178-moisturizer?page=20;;https://www.sociolla.com/face-cream-lotion/13452-sebium-mat-control-;Bioderma;Sebium Mat Control;Sebium Mat Control;Rp 341.000Rp 272.800;04.03;-71;64;Yes (37);No (9);Maybe (25)
1639404145-2232;https://www.sociolla.com/178-moisturizer?page=10;;https://www.sociolla.com/face-cream-lotion/59816-deep-hydrating-calming-moisturizer;Elsheskin;Deep Hydrating Calming Moisturizer;Deep Hydrating Calming Moisturizer;Rp 129.000Rp 126.420;04.08;-225;155;Yes (195);No (2);Maybe (28)
1639404637-2305;https://www.sociolla.com/178-moisturizer?page=5;;https://www.sociolla.com/eye-cream/53456-kem-duong-mat-chong-lao-hoa-cho-toan-mat-ahc-age-defense-real-eye-cream-for-face;AHC;Age Defense Real Eye Cream for Face;Age Defense Real Eye Cream for Face;Rp 165.000 - Rp 480.000Rp 140.250 - Rp 408.000;04.06;-8;4;Yes (7);No (0);Maybe (1)
1639404001-2210;https://www.sociolla.com/178-moisturizer?page=11;;https://www.sociolla.com/face-cream-lotion/12325-acne-spot-cream;Pyunkang Yul;Acne Spot Cream;Acne Spot Cream;Rp 200.000Rp 120.000;04.04;-131;106;Yes (69);No (15);Maybe (47)
1639402754-2035;https://www.sociolla.com/178-moisturizer?page=22;;https://www.sociolla.com/face-oil/33390-almond-serum-oil;Purivera Botanicals;Almond Buckthorn Serum Oil - Anti Aging - Sea Bakuchiol 1% As Retinol Retinoid Alternative;Almond Buckthorn Serum Oil - Anti Aging - Sea Bakuchiol 1% As Retinol Retinoid Alternative;Rp 110.000Rp 82.500;04.03;-129;113;Yes (57);No (29);Maybe (43)
1639401078-1799;https://www.sociolla.com/178-moisturizer?page=39;;https://www.sociolla.com/face-cream-lotion/8279-serum-vegetal-wrinkle-lifting-day-cream;Yves Rocher;Serum Vegetal Wrinkle Lifting Day Cream;Serum Vegetal Wrinkle Lifting Day Cream;Rp519.000;04.00;-1;1;Yes (1);No (0);Maybe (0)
