web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639393673-1029;https://www.sociolla.com/177-cleanser?page=14;;https://www.sociolla.com/face-wash/53768-clean-start-hydrating-jelly-cleanser;Gentle Hour;Clean Start Hydrating Jelly Cleanser;Clean Start Hydrating Jelly Cleanser;Rp180.000;04.07;-12;11;Yes (10);No (0);Maybe (2)
1639394138-1103;https://www.sociolla.com/177-cleanser?page=9;;https://www.sociolla.com/face-wash/26420-all-clear-double-w-foam;Senka;ALL Clear Double W Foam;ALL Clear Double W Foam;Rp115.000;04.05;-29;22;Yes (14);No (5);Maybe (10)
1639392629-858;https://www.sociolla.com/177-cleanser?page=24;;https://www.sociolla.com/face-wash/58594-cica-penta-cleansing-foam;Gilla8;CICA PENTA CLEANSING FOAM;CICA PENTA CLEANSING FOAM;Rp149.000;04.09;-2;2;Yes (2);No (0);Maybe (0)
1639394755-1199;https://www.sociolla.com/177-cleanser?page=2;;https://www.sociolla.com/micellar-water/8871-garnier-micellar-water;Garnier;Garnier Micellar Water;Garnier Micellar Water;Rp 16.500 - Rp 125.000Rp 14.850 - Rp 102.500;04.06;(19,9k);18915;Yes (16,1k);No (1,2k);Maybe (2,6k)
1639394779-1202;https://www.sociolla.com/177-cleanser?page=1;;https://www.sociolla.com/cleansing-oil/13141-deep-cleansing-oil;DHC;Deep Cleansing Oil;Deep Cleansing Oil;Rp 99.000 - Rp 349.000Rp 74.250 - Rp 244.300;04.05;(1,8k);1729;Yes (1,1k);No (119);Maybe (617)
1639393425-988;https://www.sociolla.com/177-cleanser?page=16;;https://www.sociolla.com/face-wash/59848-gentle-foaming-facial-cleanser;Trueve;Gentle Foaming Facial Cleanser;Gentle Foaming Facial Cleanser;Rp 101.000Rp 90.900;05.00;-1;1;Yes (1);No (0);Maybe (0)
1639392053-762;https://www.sociolla.com/177-cleanser?page=30;;https://www.sociolla.com/cleansing-gel/49276-sua-rua-mat-snail-truecica;Some By Mi;Snail Truecica Miracle Low pH Gel Cleanser;Snail Truecica Miracle Low pH Gel Cleanser;Rp390.000;04.05;-16;11;Yes (10);No (2);Maybe (4)
1639394590-1175;https://www.sociolla.com/177-cleanser?page=4;;https://www.sociolla.com/face-wash/43277-ac-collection-calming-foam-cleanser;COSRX;AC Collection Calming Foam Cleanser;AC Collection Calming Foam Cleanser;Rp 185.000Rp 148.000;04.06;-285;257;Yes (200);No (10);Maybe (75)
1639392360-815;https://www.sociolla.com/177-cleanser?page=27;;https://www.sociolla.com/makeup-remover/53626-move-on;Mizzu;Move On;Move On;Rp59.000;04.03;-1;1;Yes (0);No (0);Maybe (1)
1639393368-979;https://www.sociolla.com/177-cleanser?page=17;;https://www.sociolla.com/face-wash/61532-mur-micellar-massage-wash-gel;Bioré;Biore MUR Micellar Massage Wash 90ml;Biore MUR Micellar Massage Wash 90ml;Rp 33.000Rp 25.740;null;null;null;null;null;null
1639392924-906;https://www.sociolla.com/177-cleanser?page=21;;https://www.sociolla.com/face-wash/28632-hydrating-watermelon-face-cleanser;St. Ives;Hydrating Watermelon Face Cleanser;Hydrating Watermelon Face Cleanser;Rp 102.000Rp 82.620;04.07;-167;155;Yes (119);No (14);Maybe (34)
1639394224-1117;https://www.sociolla.com/177-cleanser?page=8;;https://www.sociolla.com/face-wash/14809-ivey-face-wash;Haple;Ivey Face Wash;Ivey Face Wash;Rp 69.000Rp 55.200;04.05;-97;86;Yes (72);No (8);Maybe (17)
1639393519-1004;https://www.sociolla.com/177-cleanser?page=15;;https://www.sociolla.com/face-wash/10485-cleanser-wash-for-normal-skin;Elsheskin;Cleanser Wash For Normal Skin;Cleanser Wash For Normal Skin;Rp 65.000Rp 63.700;04.05;-20;17;Yes (10);No (2);Maybe (8)
1639392070-765;https://www.sociolla.com/177-cleanser?page=30;;https://www.sociolla.com/face-wash/51356-nivea-men-anti-shine-foam-free-deep-bright-mud-foam;Nivea;NIVEA Men Anti-Shine Foam FREE Deep Bright Mud Foam;NIVEA Men Anti-Shine Foam FREE Deep Bright Mud Foam;Rp58.400;null;null;null;null;null;null
1639394579-1173;https://www.sociolla.com/177-cleanser?page=5;;https://www.sociolla.com/face-wash/7848-sebium-gel-moussant;Bioderma;Sebium Gel Moussant;Sebium Gel Moussant;Rp 187.000 - Rp 297.000Rp 149.600 - Rp 237.600;04.04;(1,2k);1110;Yes (663);No (138);Maybe (395)
1639394573-1172;https://www.sociolla.com/177-cleanser?page=5;;https://www.sociolla.com/face-wash/14663-tea-tree-purifine-30-cleansing-foam;Dr. Ceuracle;Tea Tree Purifine 30 Cleansing Foam;Tea Tree Purifine 30 Cleansing Foam;Rp 225.000Rp 157.500;04.05;-21;17;Yes (15);No (1);Maybe (5)
