web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639388645-272;https://www.sociolla.com/179-treatment?page=35;;https://www.sociolla.com/eye-care/2389-sensibio-eye-contour-gel-15ml;Bioderma;Sensibio Eye Contour Gel 15ml;Sensibio Eye Contour Gel 15ml;Rp 275.000Rp 220.000;04.03;-725;678;Yes (320);No (57);Maybe (348)
1639390103-508;https://www.sociolla.com/179-treatment?page=20;;https://www.sociolla.com/treatment/57378-10-vitamin-c-orange-extract-face-serum;Dear Me Beauty;10% Vitamin C + Orange Extract Face Serum;10% Vitamin C + Orange Extract Face Serum;Rp 129.000 - Rp 189.000;04.05;-127;89;Yes (79);No (10);Maybe (38)
1639388386-231;https://www.sociolla.com/179-treatment?page=37;;https://www.sociolla.com/eye-care/27068-garnier-eye-serum-mask-coconut-pack-of-5;Garnier;Garnier Eye Serum Mask Coconut pack of 5;Garnier Eye Serum Mask Coconut pack of 5;Rp 85.000Rp 61.200;null;null;null;null;null;null
1639390934-643;https://www.sociolla.com/179-treatment?page=11;;https://www.sociolla.com/essence/57463-secret-key-starting-treatment-essence-rose-edition_new;Secret Key;Secret Key Starting Treatment Essence Rose Edition;Secret Key Starting Treatment Essence Rose Edition;Rp 129.000 - Rp 360.000;04.07;-57;46;Yes (46);No (1);Maybe (10)
1639388249-210;https://www.sociolla.com/179-treatment?page=40;;https://www.sociolla.com/toner/12332-cica-care-purifying-toner;Rovectin;Cica Care Purifying Toner;Cica Care Purifying Toner;Rp 390.000Rp 234.000;04.04;-55;38;Yes (30);No (12);Maybe (13)
1639389905-478;https://www.sociolla.com/179-treatment?page=22;;https://www.sociolla.com/face-serum/61375-miraculous-acne-solution-micro-serum;Avoskin;Miraculous Acne Solution Micro Serum;Miraculous Acne Solution Micro Serum;Rp 240.900Rp 228.855;04.09;-22;12;Yes (19);No (0);Maybe (3)
1639387368-79;https://www.sociolla.com/179-treatment?page=48;;https://www.sociolla.com/face-serum/57171-advanced-acne-care-perfect-purifiying-face-oil;Mineral Botanica;Advanced Acne Care Perfect Purifiying Face Oil;Advanced Acne Care Perfect Purifiying Face Oil;Rp 115.000Rp 86.250;04.09;-5;4;Yes (5);No (0);Maybe (0)
1639390316-541;https://www.sociolla.com/179-treatment?page=18;;https://www.sociolla.com/toner/16944-blemish-control-pore-perfecting-toner;null;null;null;null;null;null;null;null;null;null
1639389447-403;https://www.sociolla.com/179-treatment?page=27;;https://www.sociolla.com/toner/3374-lightening-face-toner-150-ml;Wardah;Lightening Face Toner;Lightening Face Toner;Rp24.000;04.03;(1,8k);1519;Yes (950);No (356);Maybe (510)
1639388806-299;https://www.sociolla.com/179-treatment?page=33;;https://www.sociolla.com/skincare/14670-5-control-cleansing-serum-in-emulsion;Dr. Ceuracle;5α Control Lightweight Serum in Emulsion;5α Control Lightweight Serum in Emulsion;Rp 475.000Rp 308.750;04.05;-1;1;Yes (0);No (0);Maybe (1)
1639389732-451;https://www.sociolla.com/179-treatment?page=24;;https://www.sociolla.com/face-serum/57417-10-cica-watermelon-extract-face-serum;Dear Me Beauty;10% Cica + Watermelon Extract Face Serum;10% Cica + Watermelon Extract Face Serum;Rp 79.000 - Rp 129.000;04.07;-211;176;Yes (170);No (8);Maybe (33)
1639389311-379;https://www.sociolla.com/179-treatment?page=28;;https://www.sociolla.com/face-serum/9666-rich-moist-soothing-serum;Dear Klairs;Rich Moist Soothing Serum;Rich Moist Soothing Serum;Rp 330.000Rp 280.500;04.04;-154;142;Yes (89);No (15);Maybe (50)
1639390906-639;https://www.sociolla.com/179-treatment?page=12;;https://www.sociolla.com/eye-care/55678-steambase-daily-eyemask-rose-garden;Steambase;STEAMBASE WARMING EYEMASK - ROSE GARDEN;STEAMBASE WARMING EYEMASK - ROSE GARDEN;Rp 19.900Rp 17.910;04.09;-24;16;Yes (23);No (0);Maybe (1)
1639387964-166;https://www.sociolla.com/179-treatment?page=43;;https://www.sociolla.com/toner/24047-witch-hazel-original;Thayers;Witch Hazel - Original;Witch Hazel - Original;Rp230.000;04.00;-22;17;Yes (7);No (6);Maybe (9)
1639390176-520;https://www.sociolla.com/179-treatment?page=19;;https://www.sociolla.com/eye-care/56592-polypeptide-eye-gel-cream;Votre Peau;Polypeptide Eye Gel Cream;Polypeptide Eye Gel Cream;Rp 165.000Rp 123.750;04.03;-25;18;Yes (15);No (4);Maybe (6)
1639388513-251;https://www.sociolla.com/179-treatment?page=36;;https://www.sociolla.com/face-serum/57700-hyaluronic-acid-serum-melembabkan-wajah;Breylee;Hyaluronic Acid Serum - Melembabkan Wajah;Hyaluronic Acid Serum - Melembabkan Wajah;Rp 100.000Rp 49.000;04.02;-17;10;Yes (11);No (2);Maybe (4)
1639389032-334;https://www.sociolla.com/179-treatment?page=31;;https://www.sociolla.com/acne-blemish-treatments/57686-krim-treatment-wajah-berjerawat;Breylee;Krim Treatment - Wajah Berjerawat;Krim Treatment - Wajah Berjerawat;Rp 80.000Rp 59.200;04.06;-19;11;Yes (12);No (2);Maybe (5)
1639387169-47;https://www.sociolla.com/179-treatment?page=50;;https://www.sociolla.com/anti-aging/13548-benefiance-wrinkle-smoothing-cream-enriched;Shiseido;Benefiance Wrinkle Smoothing Cream Enriched;Benefiance Wrinkle Smoothing Cream Enriched;Rp1.100.000;04.05;-1;1;Yes (0);No (0);Maybe (1)
1639387517-100;https://www.sociolla.com/179-treatment?page=47;;https://www.sociolla.com/toner/59576-let-s-carrot-oil-toner;Benton;Let's Carrot Oil Toner;Let's Carrot Oil Toner;Rp 340.000Rp 204.000;04.06;-3;1;Yes (2);No (0);Maybe (1)
1639391009-656;https://www.sociolla.com/179-treatment?page=11;;https://www.sociolla.com/acne-blemish-treatments/13748-acne-care-intensive-gel;Derma Angel;Acne Care Intensive Gel;Acne Care Intensive Gel;Rp 99.000Rp 74.250;04.05;(1,3k);1195;Yes (862);No (67);Maybe (360)
1639390471-566;https://www.sociolla.com/179-treatment?page=16;;https://www.sociolla.com/scrub-exfoliator/53986-soft-skin-avocado-and-honey-face-scrub;St. Ives;Soft Skin Avocado and Honey Face Scrub;Soft Skin Avocado and Honey Face Scrub;Rp 72.500Rp 55.825;04.06;-63;58;Yes (45);No (3);Maybe (15)
1639388621-268;https://www.sociolla.com/179-treatment?page=35;;https://www.sociolla.com/essence/12730-white-expert-ultimate-essence;Safi;White Expert Ultimate Essence;White Expert Ultimate Essence;Rp 99.000Rp 77.220;04.03;-382;319;Yes (193);No (85);Maybe (104)
1639388974-326;https://www.sociolla.com/179-treatment?page=32;;https://www.sociolla.com/peeling/10805-revitalizing-intensive-peeling-gel;Klavuu;Revitalizing Intensive Peeling Gel;Revitalizing Intensive Peeling Gel;Rp 339.000Rp 220.350;04.06;-24;20;Yes (19);No (2);Maybe (3)
1639391149-676;https://www.sociolla.com/179-treatment?page=9;;https://www.sociolla.com/face-serum/10421-miraculous-refining-serum;Avoskin;Miraculous Refining Serum;Miraculous Refining Serum;Rp 262.900Rp 236.610;04.06;(1,7k);1571;Yes (1,3k);No (117);Maybe (339)
1639389082-342;https://www.sociolla.com/179-treatment?page=31;;https://www.sociolla.com/toner/53072-sekkisei-clear-wellness-natural-drip;KOSE;Sekkisei Clear Wellness Natural Drip;Sekkisei Clear Wellness Natural Drip;Rp559.000;04.08;-2;2;Yes (2);No (0);Maybe (0)
1639387730-127;https://www.sociolla.com/179-treatment?page=45;;https://www.sociolla.com/face-serum/60087-sugar-willow-serum-fruit-aha-10-willow-bha-2-natural-exfoliate-peeling-exfoliating;Purivera Botanicals;Sugar Willow Serum - Fruit AHA 10% - Willow BHA 2% - Natural Exfoliate - Peeling - Exfoliating;Sugar Willow Serum - Fruit AHA 10% - Willow BHA 2% - Natural Exfoliate - Peeling - Exfoliating;Rp 130.000Rp 97.500;04.09;-6;6;Yes (6);No (0);Maybe (0)
1639389773-457;https://www.sociolla.com/179-treatment?page=23;;https://www.sociolla.com/peeling/11716-essenherb-black-tea-peeling-gel;essenHerb;EssenHerb Black Tea Peeling Gel;EssenHerb Black Tea Peeling Gel;Rp 189.000Rp 132.300;04.05;-95;83;Yes (63);No (9);Maybe (23)
1639388164-197;https://www.sociolla.com/179-treatment?page=41;;https://www.sociolla.com/eye-care/33587-age-miracle-eye-cream;Pond's;Age Miracle Eye Cream;Age Miracle Eye Cream;Rp 163.500Rp 127.530;04.04;-108;90;Yes (57);No (15);Maybe (36)
1639390882-635;https://www.sociolla.com/179-treatment?page=12;;https://www.sociolla.com/scrub-exfoliator/10155-aha-7-whitehead-power-liquid;COSRX;AHA 7 Whitehead Power Liquid;AHA 7 Whitehead Power Liquid;Rp 255.000Rp 178.500;04.05;(2,8k);2556;Yes (1,8k);No (306);Maybe (733)
1639388236-208;https://www.sociolla.com/179-treatment?page=40;;https://www.sociolla.com/booster/55369-age-corrector-skin-renew;Erha;Age Corrector Skin Renew 15ml - Bakuchiol & AHA;Age Corrector Skin Renew 15ml - Bakuchiol & AHA;Rp 214.500Rp 184.470;04.06;-13;10;Yes (10);No (1);Maybe (2)
1639391195-683;https://www.sociolla.com/179-treatment?page=8;;https://www.sociolla.com/acne-blemish-treatments/9382-erha-21-acne-back-spray;Erha;AcneAct Acne Back Spray;AcneAct Acne Back Spray;Rp 61.300Rp 52.718;04.04;-163;141;Yes (106);No (19);Maybe (38)
1639387505-98;https://www.sociolla.com/179-treatment?page=47;;https://www.sociolla.com/face-serum/13021-cleopatras-rose-facial-c-serum-60-ml;Sensatia Botanicals;Cleopatra's Rose Facial C-Serum - 60 ml;Cleopatra's Rose Facial C-Serum - 60 ml;Rp 180.000Rp 144.000;04.03;-36;27;Yes (20);No (7);Maybe (9)
1639387279-64;https://www.sociolla.com/179-treatment?page=49;;https://www.sociolla.com/toner/58947-balancing-skin-toner;YOU Makeups;AcnePlus Balancing Skin Toner;AcnePlus Balancing Skin Toner;Rp 38.000Rp 32.300;04.06;-13;5;Yes (10);No (1);Maybe (2)
1639391020-657;https://www.sociolla.com/179-treatment?page=10;;https://www.sociolla.com/essence/13296-revitalift-crystal-micro-essence-skin-care;Loreal Paris;Revitalift Crystal Micro Essence Skin Care;Revitalift Crystal Micro Essence Skin Care;Rp 169.000 - Rp 299.000Rp 130.130 - Rp 230.230;04.06;(3,9k);3706;Yes (2,9k);No (159);Maybe (827)
1639390605-589;https://www.sociolla.com/179-treatment?page=15;;https://www.sociolla.com/peeling/27631-radiance-me-mild-essential-peeling;Make P:rem;Radiance me. Mild essential peeling;Radiance me. Mild essential peeling;Rp 299.000Rp 254.150;04.00;-1;1;Yes (1);No (0);Maybe (0)
1639389398-394;https://www.sociolla.com/179-treatment?page=27;;https://www.sociolla.com/toner/58230-whitelab-exfoliating-toner;Whitelab;Whitelab Exfoliating Toner;Whitelab Exfoliating Toner;Rp59.850;04.06;-129;88;Yes (85);No (9);Maybe (35)
1639389323-381;https://www.sociolla.com/179-treatment?page=28;;https://www.sociolla.com/essence/54553-theory-of-everything-essence;Skin Game;Theory of Everything Essence;Theory of Everything Essence;Rp148.000;04.05;-46;43;Yes (34);No (3);Maybe (9)
1639389808-463;https://www.sociolla.com/179-treatment?page=23;;https://www.sociolla.com/face-serum/53694-honey-serum;I'm From;Honey Serum;Honey Serum;Rp 385.000Rp 288.750;04.06;-19;14;Yes (14);No (0);Maybe (5)
1639390012-495;https://www.sociolla.com/179-treatment?page=21;;https://www.sociolla.com/essence/7093-white-secret-pure-treatment-essence;Wardah;Crystal Secret Pure Treatment Essence;Crystal Secret Pure Treatment Essence;Rp 80.000 - Rp 142.000;04.04;(1,6k);1419;Yes (935);No (171);Maybe (449)
1639387400-84;https://www.sociolla.com/179-treatment?page=48;;https://www.sociolla.com/booster/12806-ultimune-power-infusing-concentrate-n-30-ml;Shiseido;ULTIMUNE Power Infusing Concentrate N 30 ML;ULTIMUNE Power Infusing Concentrate N 30 ML;Rp1.100.000;04.08;-10;9;Yes (6);No (1);Maybe (3)
1639388651-273;https://www.sociolla.com/179-treatment?page=35;;https://www.sociolla.com/lip-care/58412-good-cera-super-ceramide-lip-oil-stick;Holika Holika;Good Cera Super Ceramide Lip Oil Stick;Good Cera Super Ceramide Lip Oil Stick;Rp 128.000Rp 92.160;04.09;-2;1;Yes (2);No (0);Maybe (0)
1639387491-96;https://www.sociolla.com/179-treatment?page=47;;https://www.sociolla.com/lip-care/44534-lemonhead-lip-smack;Sensatia Botanicals;Lemonhead Lip Smack;Lemonhead Lip Smack;Rp60.000;04.07;-30;29;Yes (21);No (0);Maybe (9)
1639387741-129;https://www.sociolla.com/179-treatment?page=45;;https://www.sociolla.com/toner/56209-dew-it-again-hydrating-toner;Gentle Hour;Dew It Again Hydrating Toner;Dew It Again Hydrating Toner;Rp185.000;04.04;-16;11;Yes (7);No (2);Maybe (7)
1639388377-230;https://www.sociolla.com/179-treatment?page=38;;https://www.sociolla.com/essence/25155-ceramide-emulsion;null;;null;null;null;null;null;null;null;null
1639390445-562;https://www.sociolla.com/179-treatment?page=17;;https://www.sociolla.com/scrub-exfoliator/13143-facial-scrub;DHC;Facial Scrub;Facial Scrub;Rp 250.000Rp 175.000;04.06;-20;15;Yes (12);No (2);Maybe (6)
1639387485-95;https://www.sociolla.com/179-treatment?page=47;;https://www.sociolla.com/booster/10189-masking-layering-ampoule-hydra-shot;Mediheal;Masking Layering Ampoule Hydra Shot;Masking Layering Ampoule Hydra Shot;Rp 199.000Rp 139.300;04.04;-207;194;Yes (108);No (29);Maybe (70)
1639390859-631;https://www.sociolla.com/179-treatment?page=12;;https://www.sociolla.com/face-mist/24696-rose-water-face-mist-100-organic;Everpure;Rose Water (Face Mist) 100% Organic;Rose Water (Face Mist) 100% Organic;Rp 41.000Rp 36.900;04.06;-249;218;Yes (175);No (17);Maybe (57)
1639390003-494;https://www.sociolla.com/179-treatment?page=21;;https://www.sociolla.com/face-serum/62180-radiant-skin-serum;Elsheskin;Radiant Skin Serum;Radiant Skin Serum;Rp 129.000 - Rp 215.000;null;null;null;null;null;null
1639388195-201;https://www.sociolla.com/179-treatment?page=40;;https://www.sociolla.com/face-serum/55417-aha-bha-pha-peeling-serum;Everwhite;AHA BHA PHA Peeling Serum;AHA BHA PHA Peeling Serum;Rp 128.700Rp 115.830;04.06;-58;50;Yes (39);No (3);Maybe (16)
1639388463-243;https://www.sociolla.com/179-treatment?page=37;;https://www.sociolla.com/ampoule/59251-madecassoside-cica-ampoule-2x;A'pieu;Madecassoside Cica Ampoule 2X;Madecassoside Cica Ampoule 2X;Rp 289.000Rp 260.100;04.07;-8;7;Yes (6);No (0);Maybe (2)
1639389561-422;https://www.sociolla.com/179-treatment?page=26;;https://www.sociolla.com/ampoule/53771-cica-care-ampoule;Jarte Beauty;CICA Care Ampoule;CICA Care Ampoule;Rp 119.000 - Rp 325.000;04.07;-114;100;Yes (85);No (4);Maybe (25)
1639388139-194;https://www.sociolla.com/179-treatment?page=41;;https://www.sociolla.com/face-serum/13782-green-grape-pore-serum;Frudia;Green Grape Pore Serum;Green Grape Pore Serum;Rp400.000;04.03;-3;3;Yes (1);No (0);Maybe (2)
1639389045-336;https://www.sociolla.com/179-treatment?page=31;;https://www.sociolla.com/ampoule/55528-black-tea-youth-ampoule-30ml;Innisfree;Black Tea Youth Ampoule;Black Tea Youth Ampoule;Rp 540.000 - Rp 650.000;04.05;-14;11;Yes (10);No (1);Maybe (3)
1639388884-311;https://www.sociolla.com/179-treatment?page=32;;https://www.sociolla.com/acne-blemish-treatments/56606-vp-acne-cleanser-scrub-beta-plus-acsbp-spot-gel-sabun-wajah-obat-jerawat;Erha;Bundling ERHA Acneact Acne Cleanser Scrub Beta Plus (ACSBP) + Spot Gel - Sabun Wajah + Obat Jerawat;Bundling ERHA Acneact Acne Cleanser Scrub Beta Plus (ACSBP) + Spot Gel - Sabun Wajah + Obat Jerawat;Rp 168.740Rp 141.742;04.06;-4;4;Yes (4);No (0);Maybe (0)
1639391538-734;https://www.sociolla.com/179-treatment?page=2;;https://www.sociolla.com/face-serum/54647-niacinamide-10-and-ceramide-brightening-serum;Trueve;Niacinamide 10% & Ceramide Brightening Serum;Niacinamide 10% & Ceramide Brightening Serum;Rp 145.000Rp 130.500;04.09;-431;421;Yes (396);No (2);Maybe (33)
1639388290-216;https://www.sociolla.com/179-treatment?page=38;;https://www.sociolla.com/anti-aging/26441-revitalift-laser-x3-day-cream;Loreal Paris;L'Oreal Paris Revitalift Triple Action Day Cream;L'Oreal Paris Revitalift Triple Action Day Cream;Rp 289.000Rp 222.530;04.06;-34;32;Yes (29);No (1);Maybe (4)
1639388189-200;https://www.sociolla.com/179-treatment?page=40;;https://www.sociolla.com/peeling/16533-glowing-facial-peeling;Elsheskin;Glowing Facial Peeling;Glowing Facial Peeling;Rp 92.000Rp 90.160;04.03;-56;43;Yes (23);No (11);Maybe (22)
1639389896-477;https://www.sociolla.com/179-treatment?page=22;;https://www.sociolla.com/toner/58785-your-skin-bae-ceramide-lc-s-20-1-mugwort-cica;Avoskin;YOUR SKIN BAE Toner Ceramide LC S-20 1% + Mugwort + Cica;YOUR SKIN BAE Toner Ceramide LC S-20 1% + Mugwort + Cica;Rp 174.900Rp 166.155;04.07;-58;39;Yes (47);No (1);Maybe (10)
1639391320-702;https://www.sociolla.com/179-treatment?page=6;;https://www.sociolla.com/face-serum/27551-brightly-serum;Scarlett Whitening;Scarlett Whitening Brightly Serum;Scarlett Whitening Brightly Serum;Rp 82.500Rp 74.250;04.05;(2,5k);2155;Yes (1,6k);No (275);Maybe (628)
1639388200-202;https://www.sociolla.com/179-treatment?page=40;;https://www.sociolla.com/toner/11845-phyto-niacin-whitening-toner;Nacific;Phyto Niacin Whitening Toner;Phyto Niacin Whitening Toner;Rp349.000;04.05;-574;505;Yes (346);No (64);Maybe (164)
1639387585-107;https://www.sociolla.com/179-treatment?page=46;;https://www.sociolla.com/toner/49271-nuoc-hoa-hong-galactomyces;Some By Mi;Galactomyces Pure Vitamin C Glow Toner;Galactomyces Pure Vitamin C Glow Toner;Rp520.000;04.05;-41;32;Yes (27);No (3);Maybe (11)
1639390523-575;https://www.sociolla.com/179-treatment?page=16;;https://www.sociolla.com/face-serum/49603-soothe-bamboo-serum;Keep Cool;Soothe Bamboo Serum;Soothe Bamboo Serum;Rp 380.000Rp 228.000;04.05;-73;61;Yes (51);No (5);Maybe (17)
1639391415-716;https://www.sociolla.com/179-treatment?page=5;;https://www.sociolla.com/face-serum/57376-1-bakuchiol-blueberry-extract-face-serum;Dear Me Beauty;1% Bakuchiol + Blueberry Extract Face Serum;1% Bakuchiol + Blueberry Extract Face Serum;Rp 89.000 - Rp 159.000;04.08;-197;163;Yes (170);No (4);Maybe (23)
1639387957-165;https://www.sociolla.com/179-treatment?page=43;;https://www.sociolla.com/acne-blemish-treatments/16963-tea-tree-and-lemon-spot-treatment;Sensatia Botanicals;Tea Tree & Lemon Spot Treatment;Tea Tree & Lemon Spot Treatment;Rp110.000;04.02;-20;12;Yes (9);No (7);Maybe (4)
1639387866-150;https://www.sociolla.com/179-treatment?page=44;;https://www.sociolla.com/face-serum/28004-regenerist-mircro-sculpting-serum;Olay;Regenerist Mircro-sculpting Serum;Regenerist Mircro-sculpting Serum;Rp265.000;04.05;-12;11;Yes (10);No (1);Maybe (1)
1639388726-285;https://www.sociolla.com/179-treatment?page=34;;https://www.sociolla.com/eye-care/10215-centella-80-eye-cream;PureHeals;Centella 80 Eye Cream;Centella 80 Eye Cream;Rp240.000;04.02;-15;12;Yes (3);No (5);Maybe (7)
1639390670-599;https://www.sociolla.com/179-treatment?page=14;;https://www.sociolla.com/face-serum/59812-implora-serum-wajah;Implora;Serum Wajah;Serum Wajah;Rp35.000;04.07;-386;264;Yes (320);No (20);Maybe (46)
1639389355-387;https://www.sociolla.com/179-treatment?page=28;;https://www.sociolla.com/toner/10809-revitalizing-pearl-treatment-toner;Klavuu;Revitalizing Pearl Treatment Toner;Revitalizing Pearl Treatment Toner;Rp 579.000Rp 405.300;04.05;-41;36;Yes (22);No (4);Maybe (15)
1639388839-304;https://www.sociolla.com/179-treatment?page=33;;https://www.sociolla.com/anti-aging/28009-total-effects-7in1-anti-ageing-night-cream;null;null;null;null;null;null;null;null;null;null
1639390033-498;https://www.sociolla.com/179-treatment?page=21;;https://www.sociolla.com/essence/14398-white-aqua-hydra-moist-essence;Pixy;White Aqua Hydra Moist Essence;White Aqua Hydra Moist Essence;Rp80.000;04.06;-109;100;Yes (86);No (10);Maybe (13)
1639391055-662;https://www.sociolla.com/179-treatment?page=10;;https://www.sociolla.com/face-serum/52507-your-skin-bae-series-ultimate-hyaluron-hyacross-3-green-tea;Avoskin;YOUR SKIN BAE SERIES Ultimate Hyaluron HYACROSS 3% + Green Tea;YOUR SKIN BAE SERIES Ultimate Hyaluron HYACROSS 3% + Green Tea;Rp 152.900Rp 137.610;null;null;null;Yes (367);No (12);Maybe (66)
1639388908-315;https://www.sociolla.com/179-treatment?page=32;;https://www.sociolla.com/booster/56866-age-correctior-moisture-control;Erha;Age Corrector Moisture Control 15ml - Hyaluronic Acid & PGA;Age Corrector Moisture Control 15ml - Hyaluronic Acid & PGA;Rp 220.990Rp 190.051;04.06;-5;4;Yes (4);No (0);Maybe (1)
1639390705-605;https://www.sociolla.com/179-treatment?page=14;;https://www.sociolla.com/face-serum/57169-ceramide-serum-with-vit-a-and-centela-asiatica-leaf-extract;Mineral Botanica;Ceramide Serum With Vit. A and Centela Asiatica Leaf Extract;Ceramide Serum With Vit. A and Centela Asiatica Leaf Extract;Rp 125.000Rp 93.750;04.08;-195;156;Yes (158);No (4);Maybe (33)
1639389209-362;https://www.sociolla.com/179-treatment?page=29;;https://www.sociolla.com/eye-care/26440-revitalift-laser-x3-eye-cream;Loreal Paris;L'Oreal Paris Revitalift Triple Action Eye Cream;L'Oreal Paris Revitalift Triple Action Eye Cream;Rp 255.000Rp 196.350;04.05;-68;62;Yes (42);No (5);Maybe (21)
1639388773-294;https://www.sociolla.com/179-treatment?page=34;;https://www.sociolla.com/toner/11706-essenherb-bulgarian-rose-toner;essenHerb;EssenHerb Bulgarian Rose Toner;EssenHerb Bulgarian Rose Toner;Rp 249.000Rp 174.300;04.04;-113;103;Yes (64);No (10);Maybe (39)
1639388113-189;https://www.sociolla.com/179-treatment?page=41;;https://www.sociolla.com/ampoule/11707-essenherb-bulgarian-rose-ampoule;essenHerb;EssenHerb Bulgarian Rose Ampoule;EssenHerb Bulgarian Rose Ampoule;Rp 259.000Rp 181.300;04.04;-89;83;Yes (52);No (12);Maybe (25)
1639389191-359;https://www.sociolla.com/179-treatment?page=29;;https://www.sociolla.com/face-serum/4236-white-perfect-clinical-derm-white-essence-white-perfect;Loreal Paris;White Perfect Clinical Derm White Essence - White Perfect;White Perfect Clinical Derm White Essence - White Perfect;Rp 245.000Rp 188.650;04.03;-373;331;Yes (225);No (52);Maybe (96)
1639387833-144;https://www.sociolla.com/179-treatment?page=44;;https://www.sociolla.com/face-serum/11475-spot-serum;Humphreys;Spot Serum;Spot Serum;Rp119.900;04.04;-22;18;Yes (11);No (5);Maybe (6)
1639390511-573;https://www.sociolla.com/179-treatment?page=16;;https://www.sociolla.com/face-serum/60630-24k-snail-gold-face-serum;Skin Soul;24K Snail Gold Face Serum;24K Snail Gold Face Serum;Rp145.000;04.09;-8;5;Yes (8);No (0);Maybe (0)
1639388101-187;https://www.sociolla.com/179-treatment?page=41;;https://www.sociolla.com/scrub-exfoliator/3375-lightening-facial-scrub-60-ml;Wardah;Lightening Gentle Exfoliator;Lightening Gentle Exfoliator;Rp16.000;04.02;(1,4k);1121;Yes (571);No (376);Maybe (482)
1639388945-321;https://www.sociolla.com/179-treatment?page=32;;https://www.sociolla.com/booster/55366-truwhite-active-glow;Erha;Truwhite Active Glow;Truwhite Active Glow;Rp 220.990Rp 190.051;04.06;-8;5;Yes (6);No (0);Maybe (2)
1639388914-316;https://www.sociolla.com/179-treatment?page=32;;https://www.sociolla.com/face-serum/16130-crystallure-superme-revitalizing-oil-serum;Wardah;Crystallure Superme Revitalizing Oil Serum;Crystallure Superme Revitalizing Oil Serum;Rp250.000;04.04;-73;61;Yes (43);No (8);Maybe (22)
1639391367-708;https://www.sociolla.com/179-treatment?page=5;;https://www.sociolla.com/eye-care/24157-starting-treatment-eye-cream;Secret Key;Starting Treatment Eye Cream;Starting Treatment Eye Cream;Rp 149.000Rp 104.300;04.04;-66;57;Yes (28);No (8);Maybe (30)
1639390952-646;https://www.sociolla.com/179-treatment?page=11;;https://www.sociolla.com/nose-pack/28332-pore-pack-complete-kit;Biore;Pore Pack - Complete Kit;Pore Pack - Complete Kit;Rp 38.250Rp 35.573;04.05;-202;167;Yes (146);No (16);Maybe (40)
1639390212-525;https://www.sociolla.com/179-treatment?page=19;;https://www.sociolla.com/acne-blemish-treatments/57684-krim-penghilang-noda-bekas-jerawat-luka-and-stretch-mark;Breylee;Krim Penghilang Noda Bekas Jerawat, Luka & Stretch Mark;Krim Penghilang Noda Bekas Jerawat, Luka & Stretch Mark;Rp 100.000Rp 59.000;04.05;-45;29;Yes (23);No (3);Maybe (19)
1639387668-118;https://www.sociolla.com/179-treatment?page=46;;https://www.sociolla.com/scrub-exfoliator/16962-tea-tree-and-lemon-facial-scrub;Sensatia Botanicals;Tea Tree & Lemon Facial Scrub;Tea Tree & Lemon Facial Scrub;Rp120.000;03.04;-4;2;Yes (1);No (2);Maybe (1)
1639389538-418;https://www.sociolla.com/179-treatment?page=26;;https://www.sociolla.com/face-serum/28646-revitalift-1-5-hyaluronic-acid-serum;Loreal Paris;Revitalift 1.5% Hyaluronic Acid Serum;Revitalift 1.5% Hyaluronic Acid Serum;Rp 135.000 - Rp 245.000Rp 108.000 - Rp 188.650;04.06;(2k);1895;Yes (1,4k);No (48);Maybe (492)
1639390162-518;https://www.sociolla.com/179-treatment?page=20;;https://www.sociolla.com/toner/57737-unscented-waterymelon-deep-hydration-toner;Harlette;Unscented Waterymelon Deep Hydration Toner;Unscented Waterymelon Deep Hydration Toner;Rp 125.000Rp 106.250;04.06;-33;25;Yes (24);No (2);Maybe (7)
1639389790-460;https://www.sociolla.com/179-treatment?page=23;;https://www.sociolla.com/toner/34085-mist-toner;Pyunkang Yul;Mist Toner;Mist Toner;Rp 180.000 - Rp 260.000Rp 108.000 - Rp 156.000;04.05;-575;480;Yes (372);No (52);Maybe (151)
1639388714-283;https://www.sociolla.com/179-treatment?page=34;;https://www.sociolla.com/anti-aging/51839-future-solution-lx-total-regenerating-cream-e;Shiseido;Future Solution LX Total Regenerating Cream E;Future Solution LX Total Regenerating Cream E;Rp4.000.000;null;null;null;null;null;null
1639387530-102;https://www.sociolla.com/179-treatment?page=47;;https://www.sociolla.com/toner/60794-clean-pore-oily-skin-toner;Omniskin;Clean Pore Oily Skin Toner;Clean Pore Oily Skin Toner;Rp89.000;null;null;null;null;null;null
1639388932-319;https://www.sociolla.com/179-treatment?page=32;;https://www.sociolla.com/acne-blemish-treatments/17263-acnepair-cream;Everwhite;Acnepair Cream;Acnepair Cream;Rp 82.500Rp 66.000;04.04;-149;123;Yes (81);No (26);Maybe (42)
1639389974-489;https://www.sociolla.com/179-treatment?page=21;;https://www.sociolla.com/ampoule/28503-prep-cicaronic-sos-ampoule;SNP;PREP Cicaronic SOS Ampoule;PREP Cicaronic SOS Ampoule;Rp 180.000Rp 162.000;04.05;-28;28;Yes (20);No (1);Maybe (7)
1639388342-224;https://www.sociolla.com/179-treatment?page=38;;https://www.sociolla.com/face-serum/23998-cacao-moist-and-mild-serum;Benton;Cacao Moist And Mild Serum;Cacao Moist And Mild Serum;Rp 250.000Rp 150.000;04.04;-29;21;Yes (13);No (5);Maybe (11)
