web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639391224-688;https://www.sociolla.com/179-treatment?page=8;;https://www.sociolla.com/face-serum/58568-blessing-of-sprout-enriched-serum;Hayejin;Blessing Of Sprout Enriched Serum;Blessing Of Sprout Enriched Serum;Rp 300.000Rp 199.000;04.07;-41;26;Yes (30);No (1);Maybe (10)
1639391201-684;https://www.sociolla.com/179-treatment?page=8;;https://www.sociolla.com/lip-care/25687-lip-scrub-bubble-gum;LIPLAPIN;Lip Scrub Bubble Gum;Lip Scrub Bubble Gum;Rp 42.000Rp 31.500;04.04;-242;198;Yes (129);No (22);Maybe (91)
1639388576-261;https://www.sociolla.com/179-treatment?page=36;;https://www.sociolla.com/eye-care/11458-firming-and-lifting-eye-serum;Humphreys;Firming & Lifting Eye Serum;Firming & Lifting Eye Serum;Rp124.900;03.08;-28;18;Yes (8);No (10);Maybe (10)
1639390940-644;https://www.sociolla.com/179-treatment?page=11;;https://www.sociolla.com/face-masks/24920-starting-treatment-essential-mask-sheet-rose-edition;Secret Key;Starting Treatment Essential Mask Sheet Rose Edition;Starting Treatment Essential Mask Sheet Rose Edition;Rp 45.000Rp 29.250;04.07;-49;39;Yes (35);No (3);Maybe (11)
1639388437-239;https://www.sociolla.com/179-treatment?page=37;;https://www.sociolla.com/toner/62508-acne-cica-plus-clear-toner;Nacific;Acne Cica Plus Clear Toner;Acne Cica Plus Clear Toner;Rp349.000;null;null;null;null;null;null
1639388663-275;https://www.sociolla.com/179-treatment?page=35;;https://www.sociolla.com/eye-care/59420-steam-eye-mask-moomin-5pcs-forest-scent;MegRhythm;Steam Eye Mask Moomin 5pcs - Forest Scent;Steam Eye Mask Moomin 5pcs - Forest Scent;Rp 74.600Rp 58.188;04.07;-26;13;Yes (23);No (0);Maybe (3)
1639388790-296;https://www.sociolla.com/179-treatment?page=33;;https://www.sociolla.com/toner/10473-brightening-refresh-toner;Elsheskin;Brightening Refresh Toner;Brightening Refresh Toner;Rp 65.000Rp 63.700;04.02;-137;111;Yes (64);No (30);Maybe (43)
1639387921-159;https://www.sociolla.com/179-treatment?page=43;;https://www.sociolla.com/toner/56710-supple-preparation-unscented-toner-miniature;Dear Klairs;Supple Preparation Unscented Toner Miniature;Supple Preparation Unscented Toner Miniature;Rp105.000;04.05;-39;31;Yes (26);No (1);Maybe (12)
1639391261-693;https://www.sociolla.com/179-treatment?page=7;;https://www.sociolla.com/scrub-exfoliator/41677-fresh-skin-apricot-scrub;St. Ives;Fresh Skin Apricot Scrub;Fresh Skin Apricot Scrub;Rp 72.500Rp 55.825;04.04;(2,6k);2350;Yes (1,6k);No (345);Maybe (615)
1639390588-586;https://www.sociolla.com/179-treatment?page=15;;https://www.sociolla.com/face-serum/15097-essence-of-life-serum;Innertrue;Essence of Life Serum;Essence of Life Serum;Rp 220.000Rp 176.000;04.04;-32;27;Yes (19);No (5);Maybe (8)
1639389738-452;https://www.sociolla.com/179-treatment?page=24;;https://www.sociolla.com/scrub-exfoliator/57877-clean-it-zero-toner-pad-pore-clarifying;banila co.;Clean it Zero Toner Pad Pore Clarifying;Clean it Zero Toner Pad Pore Clarifying;Rp310.000;04.05;-3;3;Yes (1);No (0);Maybe (2)
1639391568-739;https://www.sociolla.com/179-treatment?page=2;;https://www.sociolla.com/face-serum/27550-acne-serum;Scarlett Whitening;Scarlett Whitening Acne Serum;Scarlett Whitening Acne Serum;Rp 82.500Rp 74.250;04.06;(3,2k);2769;Yes (2,2k);No (327);Maybe (679)
1639391527-733;https://www.sociolla.com/179-treatment?page=3;;https://www.sociolla.com/eye-treatments/50580-advance-action-eye-ampoule;Avoskin;Advance Action Eye Ampoule;Advance Action Eye Ampoule;Rp 218.900Rp 170.742;04.04;-859;740;Yes (531);No (53);Maybe (275)
1639391409-715;https://www.sociolla.com/179-treatment?page=5;;https://www.sociolla.com/toner/10271-centella-water-alcohol-free-toner;COSRX;Centella Water Alcohol-Free Toner;Centella Water Alcohol-Free Toner;Rp 200.000Rp 140.000;04.05;(2,7k);2419;Yes (1,9k);No (226);Maybe (645)
1639389841-469;https://www.sociolla.com/179-treatment?page=23;;https://www.sociolla.com/eye-care/15466-soothing-ageless-hydrogel-patch;Maska;Soothing Ageless hydrogel patch;Soothing Ageless hydrogel patch;Rp 218.000Rp 163.500;04.03;-39;32;Yes (15);No (8);Maybe (16)
1639391091-668;https://www.sociolla.com/179-treatment?page=10;;https://www.sociolla.com/face-serum/13603-vitamin-c-serum-by-fss;For Skins Sake;Vitamin C Serum by FSS;Vitamin C Serum by FSS;Rp 240.000Rp 168.000;04.03;-202;174;Yes (118);No (28);Maybe (56)
1639390224-527;https://www.sociolla.com/179-treatment?page=19;;https://www.sociolla.com/toner/48940-nuoc-can-bang-cam-gao;KEANA NADESHIKO;KEANA Rice Toner;KEANA Rice Toner;Rp 249.000Rp 224.100;04.08;-5;2;Yes (4);No (0);Maybe (1)
1639391218-687;https://www.sociolla.com/179-treatment?page=8;;https://www.sociolla.com/toner/59837-brightly-essence-toner;Scarlett Whitening;Scarlett Whitening Brightly Essence Toner;Scarlett Whitening Brightly Essence Toner;Rp 82.500Rp 74.250;04.08;-59;37;Yes (46);No (2);Maybe (11)
1639391178-681;https://www.sociolla.com/179-treatment?page=9;;https://www.sociolla.com/ampoule/54878-royal-vita-propolis-33-ampoule;Dr. Ceuracle;Royal Vita Propolis 33 Ampoule;Royal Vita Propolis 33 Ampoule;Rp 299.000Rp 209.300;04.06;-80;65;Yes (54);No (5);Maybe (21)
1639389459-405;https://www.sociolla.com/179-treatment?page=27;;https://www.sociolla.com/scrub-exfoliator/9493-lip-sugar-scrub;Elsheskin;Lip Sugar Scrub;Lip Sugar Scrub;Rp 60.000Rp 58.800;04.05;-241;227;Yes (150);No (16);Maybe (75)
1639390244-530;https://www.sociolla.com/179-treatment?page=19;;https://www.sociolla.com/face-serum/16738-light-complete-vitamin-c-30x-booster-serum;Garnier;Light Complete Vitamin C 30X Booster Serum;Light Complete Vitamin C 30X Booster Serum;Rp 75.000 - Rp 115.000Rp 61.500 - Rp 94.300;04.06;(2,7k);2535;Yes (2k);No (172);Maybe (566)
1639390687-602;https://www.sociolla.com/179-treatment?page=14;;https://www.sociolla.com/essence/45869-starting-treatment-essence;Secret Key;Starting Treatment Essence;Starting Treatment Essence;Rp 360.000Rp 252.000;04.05;-568;531;Yes (361);No (42);Maybe (165)
1639388413-235;https://www.sociolla.com/179-treatment?page=37;;https://www.sociolla.com/scrub-exfoliator/61205-ponds-men-acno-striker-facial-scrub-face-scrub-pria;Pond's;Ponds Men Acno Striker Facial Scrub - Face Scrub Pria;Ponds Men Acno Striker Facial Scrub - Face Scrub Pria;Rp 39.000Rp 30.420;05.00;-1;1;Yes (1);No (0);Maybe (0)
1639388501-249;https://www.sociolla.com/179-treatment?page=36;;https://www.sociolla.com/acne-blemish-treatments/47724-acne-spot-treatment;Terra Beaute;Acne Spot Treatment;Acne Spot Treatment;Rp75.000;04.02;-18;14;Yes (10);No (4);Maybe (4)
1639388520-252;https://www.sociolla.com/179-treatment?page=36;;https://www.sociolla.com/toner/54576-some-by-mi-super-matcha-pore-toner-150ml;Some By Mi;Super Matcha Pore Tightening Toner;Super Matcha Pore Tightening Toner;Rp450.000;04.05;-31;24;Yes (20);No (2);Maybe (9)
1639388762-292;https://www.sociolla.com/179-treatment?page=34;;https://www.sociolla.com/essence/52483-white-radiance-light-perfecting-essence-mini-travel-size;Olay;White Radiance Light Perfecting Essence Mini Travel Size;White Radiance Light Perfecting Essence Mini Travel Size;Rp69.900;04.00;-1;0;Yes (0);No (0);Maybe (1)
1639387696-122;https://www.sociolla.com/179-treatment?page=45;;https://www.sociolla.com/toner/54526-hydrating-glow-toner;Raiku;Hydrating Glow Toner;Hydrating Glow Toner;Rp 128.000Rp 102.400;04.07;-180;177;Yes (155);No (3);Maybe (22)
