web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639406417-2454;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/53825-aqua-essence-sun-shield-serum-spf-50-pa;Azarine;Aqua Essence Sun Shield Serum Spf 50 Pa+++;Aqua Essence Sun Shield Serum Spf 50 Pa+++;Rp98.000;04.06;-95;81;Yes (67);No (8);Maybe (20)
1639406579-2474;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/35194-uv-aqua-rich-watery-gel-sunscreen-skin-care-spf-50-pa;Biore;UV Aqua Rich Watery Gel Sunscreen Skin Care SPF 50 PA++++;UV Aqua Rich Watery Gel Sunscreen Skin Care SPF 50 PA++++;Rp 144.000Rp 115.200;04.05;-397;332;Yes (260);No (45);Maybe (92)
1639406549-2468;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/52025-the-great-shield-sunscreen;Avoskin;The Great Shield Sunscreen;The Great Shield Sunscreen;Rp 60.500 - Rp 152.900Rp 51.425 - Rp 129.965;04.03;-519;419;Yes (277);No (77);Maybe (165)
1639406196-2418;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/58315-mineral-sun-stick;Benton;Mineral Sun Stick;Mineral Sun Stick;Rp 370.000Rp 222.000;04.08;-4;4;Yes (3);No (0);Maybe (1)
1639406068-2390;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sun-care/16731-mild-sunscreen;Like Im Five;Mild Sunscreen;Mild Sunscreen;Rp 249.000Rp 174.300;04.07;-81;69;Yes (59);No (6);Maybe (16)
1639406175-2414;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/after-sun-care/11893-jeju-fresh-aloe-soothing-gel-99-tube-300-ml;the saem;Jeju Fresh Aloe Soothing Gel 99% Tube 300 ml;Jeju Fresh Aloe Soothing Gel 99% Tube 300 ml;Rp 119.000Rp 82.110;04.06;-230;215;Yes (164);No (17);Maybe (49)
1639406233-2426;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/47796-pure-block-daily-sun-cream-spf-45-pa;A'pieu;Pure Block Daily Sun Cream Spf 45, Pa+++;Pure Block Daily Sun Cream Spf 45, Pa+++;Rp 159.000Rp 135.150;04.09;-3;2;Yes (3);No (0);Maybe (0)
1639406334-2445;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/58014-multipurpose-tinted-sunscreen-spf50-pa-30gr;BLP Beauty;Multipurpose Tinted Sunscreen SPF50/PA++++ 30gr;Multipurpose Tinted Sunscreen SPF50/PA++++ 30gr;Rp189.000;04.05;-114;94;Yes (69);No (8);Maybe (37)
1639406593-2476;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/8862-sakura-serum-day-cream-spf-21;Garnier;Sakura Serum Day Cream;Sakura Serum Day Cream;Rp 29.000 - Rp 70.000Rp 26.100 - Rp 57.400;04.04;(3,9k);3527;Yes (2,3k);No (570);Maybe (998)
1639406164-2411;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/61895-uv-perfect-air-cool-sun-cream;SNP;UV Perfect Air Cool Sun Cream;UV Perfect Air Cool Sun Cream;Rp180.000;null;null;null;null;null;null
1639406253-2431;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/45122-ultra-sheer-dry-touch-sunscreen-spf-50;Neutrogena;Ultra Sheer Dry -Touch Sunscreen SPF 50+;Ultra Sheer Dry -Touch Sunscreen SPF 50+;Rp 190.000Rp 161.500;04.02;-98;74;Yes (45);No (22);Maybe (31)
1639406109-2400;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/9492-daily-protection-gel-for-acne-skin;Elsheskin;Daily Protection Gel For Acne Skin;Daily Protection Gel For Acne Skin;Rp 87.000Rp 85.260;04.02;-101;83;Yes (54);No (22);Maybe (25)
1639406556-2470;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/28373-perfect-uv-sunscreen-skincare-gel;ANESSA;Perfect UV Sunscreen Skincare Gel;Perfect UV Sunscreen Skincare Gel;Rp 399.000Rp 311.220;04.06;-57;45;Yes (46);No (4);Maybe (7)
1639406263-2434;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/10471-anti-aging-daily-protection;Elsheskin;Anti Aging Daily Protection;Anti Aging Daily Protection;Rp 92.000Rp 90.160;04.02;-35;23;Yes (14);No (8);Maybe (13)
1639406465-2459;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/56363-l-oreal-paris-uv-defender-uv-serum-protector-moist-and-fresh-spf50-pa;Loreal Paris;L'Oreal Paris UV Defender UV Serum Protector Moist & Fresh SPF50+ / PA++++;L'Oreal Paris UV Defender UV Serum Protector Moist & Fresh SPF50+ / PA++++;Rp 150.000Rp 120.000;04.07;-149;135;Yes (129);No (4);Maybe (16)
1639406627-2484;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/59157-dew-it-in-the-morning-face-sun-stick;Dew It;Dew It In The Morning Face Sun Stick;Dew It In The Morning Face Sun Stick;Rp195.000;04.04;-10;6;Yes (5);No (3);Maybe (2)
1639406391-2451;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/60109-glowssentials-sunshield-daily-moisturizer;Pixy;Glowssentials Sunshield Daily Moisturizer;Glowssentials Sunshield Daily Moisturizer;Rp33.000;04.06;-4;2;Yes (3);No (0);Maybe (1)
1639406150-2408;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/27316-age-miracle-ultimate-youthful-glow-day-cream-spf-18-pa;Pond's;Age Miracle Ultimate Youthful Glow Day Cream SPF 18 PA++;Age Miracle Ultimate Youthful Glow Day Cream SPF 18 PA++;Rp 33.600Rp 26.880;04.05;-50;44;Yes (34);No (6);Maybe (10)
1639406072-2391;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/15730-marrakech-spf;Cre;Marrakech SPF;Marrakech SPF;Rp160.000;04.00;-2;1;Yes (1);No (1);Maybe (0)
1639406127-2402;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/10475-day-rejuvenation;Elsheskin;Day Rejuvenation;Day Rejuvenation;Rp 87.000Rp 80.910;04.03;-18;16;Yes (10);No (1);Maybe (7)
1639406091-2395;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sun-care/25601-sfs-lx-universal-defense-e;Shiseido;Future Solution LX Universal Defense E;Future Solution LX Universal Defense E;Rp 1.200.000Rp 840.000;null;null;null;null;null;null
1639406272-2435;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/56475-tone-up-uv-elixir-spf-50-pa;YOU Makeups;Tone Up UV Elixir SPF 50+ PA++++;Tone Up UV Elixir SPF 50+ PA++++;Rp 80.000Rp 68.000;04.05;-222;193;Yes (114);No (25);Maybe (83)
1639406178-2415;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/7844-photoderm-akn-mat-spf-30;Bioderma;Photoderm AKN Mat SPF-30;Photoderm AKN Mat SPF-30;Rp 319.000Rp 255.200;04.04;-92;86;Yes (57);No (9);Maybe (26)
1639405940-2377;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/17108-cellus-sun-gel;Lagom;Cellus Sun Gel;Cellus Sun Gel;Rp 330.000Rp 198.000;04.06;-42;40;Yes (27);No (3);Maybe (12)
1639406144-2407;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/60423-rayou-x-rahasia-gadis-dailyscreen-spf-30;Rayou;Rayou x Rahasia Gadis Dailyscreen SPF 30;Rayou x Rahasia Gadis Dailyscreen SPF 30;Rp115.000;04.09;-5;3;Yes (4);No (0);Maybe (1)
1639406294-2440;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/7361-uv-mild-milk-;Skin Aqua;UV Mild Milk;UV Mild Milk;Rp52.470;04.06;-339;297;Yes (235);No (40);Maybe (64)
1639406510-2464;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sun-care/55441-acneact-acne-sun-friendly-spf30-pa;Erha;AcneAct Acne Sun Friendly SPF30/PA+++;AcneAct Acne Sun Friendly SPF30/PA+++;Rp 101.970Rp 87.694;04.03;-43;28;Yes (24);No (2);Maybe (17)
1639406206-2421;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/after-sun-care/59159-dew-it-anytime-cooling-cream;Dew It;Dew It Anytime - Cooling Cream;Dew It Anytime - Cooling Cream;Rp198.000;04.04;-2;1;Yes (0);No (0);Maybe (2)
1639406786-2501;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/51690-solar-smart-uv-protector;Carasun;Solar Smart UV Protector;Solar Smart UV Protector;Rp 17.500 - Rp 137.500Rp 17.500 - Rp 116.875;04.07;(3,6k);2746;Yes (2,8k);No (205);Maybe (604)
1639406395-2452;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/47673-uv-protection-fresh-sun-gel-spf-50-pa;Klavuu;UV Protection Fresh Sun Gel SPF 50+ PA++++;UV Protection Fresh Sun Gel SPF 50+ PA++++;Rp 259.000Rp 194.250;04.04;-17;17;Yes (12);No (1);Maybe (4)
1639406573-2473;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/moisturizer/4401-daily-facial-moisturizer-lotion-spf15-118-ml;Cetaphil;Daily Facial Moisturizer Lotion Spf15 118 ml;Daily Facial Moisturizer Lotion Spf15 118 ml;Rp 275.000Rp 192.500;04.01;-495;407;Yes (229);No (127);Maybe (139)
1639405968-2384;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/53671-don-t-forget-sunscreen-x-alodita;Rose All Day;Don't Forget Sunscreen X Alodita;Don't Forget Sunscreen X Alodita;Rp 190.000Rp 133.000;04.05;-85;68;Yes (54);No (13);Maybe (18)
1639406255-2432;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/55391-erha-x-aqua-re-fresh-hydrating-sunscreen-spf-30-pa;Erha;ERHA X AQUA Re-Fresh Hydrating Sunscreen SPF 30/PA++;ERHA X AQUA Re-Fresh Hydrating Sunscreen SPF 30/PA++;Rp 93.500Rp 80.410;04.05;-48;36;Yes (30);No (4);Maybe (14)
1639406076-2392;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/13550-white-lucent-day-emulsion-spf50;Shiseido;White Lucent Day Emulsion SPF50;White Lucent Day Emulsion SPF50;Rp890.000;04.01;-3;3;Yes (1);No (1);Maybe (1)
1639406726-2493;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/58688-cica-beat-the-sun-spf-50-pa;NPure;Cica Beat The Sun SPF 50 PA ++++;Cica Beat The Sun SPF 50 PA ++++;Rp149.000;04.09;(3k);2319;Yes (2,7k);No (19);Maybe (248)
1639406132-2403;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/10480-daily-protection-for-oily-skin;Elsheskin;Daily Protection For Oily Skin;Daily Protection For Oily Skin;Rp 93.000Rp 91.140;04.01;-23;17;Yes (11);No (6);Maybe (6)
1639406607-2479;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/58565-carasun-solar-smart-uv-cushion-refill;Carasun;Carasun Solar Smart UV Cushion Refill;Carasun Solar Smart UV Cushion Refill;Rp 115.000Rp 103.500;04.09;-16;10;Yes (14);No (0);Maybe (2)
1639406309-2443;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/27713-uv-shield-active-protection-serum-spf-50;Wardah;UV Shield Active Protection Serum SPF 50;UV Shield Active Protection Serum SPF 50;Rp73.500;04.05;-299;242;Yes (191);No (34);Maybe (74)
1639406171-2413;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/16583-everyday-is-sun-day-spf-30-pa-sunscreen;Joylab;Everyday is Sun-Day SPF 30 PA++  / Sunscreen;Everyday is Sun-Day SPF 30 PA++  / Sunscreen;Rp 160.000Rp 139.200;04.05;-65;52;Yes (37);No (9);Maybe (19)
1639406135-2404;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/15619-white-light-complete-speed-yuzu-whitening-day-cream-spf19;Garnier;White Light Complete Speed Yuzu Whitening Day Cream SPF19;White Light Complete Speed Yuzu Whitening Day Cream SPF19;Rp25.000;04.05;-516;472;Yes (294);No (77);Maybe (145)
1639406210-2422;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/after-sun-care/52470-mugwort-soothing-care;I'm From;Mugwort Soothing Care;Mugwort Soothing Care;Rp 525.000Rp 393.750;null;null;null;null;null;null
1639406199-2419;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/47792-pure-block-aqua-sun-gel-spf50-pa;A'pieu;Pure Block Aqua Sun Gel Spf50+/Pa+++;Pure Block Aqua Sun Gel Spf50+/Pa+++;Rp 159.000Rp 135.150;04.05;-4;3;Yes (1);No (1);Maybe (2)
1639406730-2494;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/27712-uv-shield-aqua-fresh-essence-spf-50;Wardah;UV Shield Aqua Fresh Essence SPF 50;UV Shield Aqua Fresh Essence SPF 50;Rp55.000;04.05;-777;598;Yes (454);No (106);Maybe (217)
1639406566-2472;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/9369-perfect-shield-for-dry-to-normal-skin-spf-30-pa;Erha;Perfect Shield Normal to Dry Skin SPF 30/PA++;Perfect Shield Normal to Dry Skin SPF 30/PA++;Rp87.500;04.04;-70;58;Yes (50);No (11);Maybe (9)
1639406360-2449;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/56365-l-oreal-paris-uv-defender-uv-serum-protector-correct-and-protect-spf50-pa;Loreal Paris;L'Oreal Paris UV Defender UV Serum Protector Correct & Protect SPF50+ / PA++++;L'Oreal Paris UV Defender UV Serum Protector Correct & Protect SPF50+ / PA++++;Rp 150.000Rp 120.000;04.07;-126;116;Yes (110);No (3);Maybe (13)
1639406618-2482;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/8578-biore-uv-aqua-rich-watery-essence-spf-50-pa;Biore;Biore UV Aqua Rich Watery Essence SPF 50+/PA+++;Biore UV Aqua Rich Watery Essence SPF 50+/PA+++;Rp 115.800Rp 104.220;04.05;(8,6k);8008;Yes (6,5k);No (740);Maybe (1,4k)
1639405974-2385;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/26113-uv-athlizm-skin-protection-essence-sport-sunscreen-spf-50-pa;Biore;UV Athlizm Skin Protection Essence Sport Sunscreen SPF 50 PA++++;UV Athlizm Skin Protection Essence Sport Sunscreen SPF 50 PA++++;Rp 195.000Rp 156.000;04.07;-96;83;Yes (74);No (5);Maybe (17)
1639405929-2376;https://www.sociolla.com/2301-sun-care?page=9;;https://www.sociolla.com/sunscreen/12440-uv-perfect-air-cool-sun-gel;SNP;UV Perfect Air Cool Sun Gel;UV Perfect Air Cool Sun Gel;Rp 232.000Rp 185.600;04.05;-327;318;Yes (204);No (17);Maybe (106)
1639406016-2387;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/27608-uv-defense-me-blue-ray-sun-cream-spf-50-pa;Make P:rem;UV defense me. Blue sun cream SPF 50+ PA++++;UV defense me. Blue sun cream SPF 50+ PA++++;Rp 245.000Rp 208.250;04.05;-53;37;Yes (33);No (10);Maybe (10)
1639406754-2497;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/53824-hydrashoothe-sunscreen-gel-spf45;Azarine;Hydrashoothe Sunscreen Gel Spf45+++;Hydrashoothe Sunscreen Gel Spf45+++;Rp65.000;04.08;(4,5k);3869;null;null;null
1639405896-2371;https://www.sociolla.com/2301-sun-care?page=9;;https://www.sociolla.com/sunscreen/55025-lng-air-light-sun-stick-spf50-ol21;Laneige;LNG Air Light Sun Stick SPF50 (OL21);LNG Air Light Sun Stick SPF50 (OL21);Rp 452.500Rp 296.000;null;null;null;null;null;null
1639406229-2425;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sun-care/11009-white-uv-emulsion-;KOSE;Sekkisei White UV Emulsion;Sekkisei White UV Emulsion;Rp449.000;04.05;-9;9;Yes (8);No (0);Maybe (1)
1639406364-2450;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/25193-uv-tone-up-clear-skin-make-up-sunscreen-spf-50-pa;Biore;UV Tone Up Clear Skin Make Up Sunscreen SPF 50 PA++++;UV Tone Up Clear Skin Make Up Sunscreen SPF 50 PA++++;Rp 108.000Rp 86.400;04.01;-103;75;Yes (32);No (33);Maybe (38)
1639406399-2453;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/8868-garnier-light-complete-white-speed-serum-cream-extra-spf-19-pa;Garnier;Garnier Light Complete White Speed Serum Cream Extra SPF 19/PA+++;Garnier Light Complete White Speed Serum Cream Extra SPF 19/PA+++;Rp 65.000Rp 53.300;04.03;(3,2k);2732;Yes (1,5k);No (651);Maybe (1k)
1639405865-2368;https://www.sociolla.com/2301-sun-care?page=9;;https://www.sociolla.com/sunscreen/17210-ultra-uv-shield-sun-essence;Frudia;Ultra UV Shield Sun Essence;Ultra UV Shield Sun Essence;;null;null;null;Yes (3);No (1);Maybe (2)
1639406460-2458;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/55886-moisture-uv-sunscreen-mild-gel;ANESSA;Moisture UV Sunscreen Mild Gel;Moisture UV Sunscreen Mild Gel;Rp 399.000Rp 319.200;04.05;-18;11;null;null;null
1639406184-2416;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/9483-daily-protection-gel;Elsheskin;Daily Protection Gel;Daily Protection Gel;Rp 93.000Rp 86.490;04.03;-106;88;Yes (60);No (19);Maybe (27)
