web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639396477-1252;https://www.sociolla.com/2303-mask?page=37;;https://www.sociolla.com/sheet-mask/13611-snp-fresh-vita-water-jelly-mask;SNP;SNP Fresh Vita Water Jelly Mask;SNP Fresh Vita Water Jelly Mask;Rp 39.000Rp 29.250;04.06;-68;65;Yes (52);No (2);Maybe (14)
1639396602-1272;https://www.sociolla.com/2303-mask?page=35;;https://www.sociolla.com/sleeping-mask/15515-radiance-energy-mask-80-ml;Sulwhasoo;Radiance Energy Mask 80 ml;Radiance Energy Mask 80 ml;Rp 1.100.000Rp 748.000;null;null;null;null;null;null
1639396387-1238;https://www.sociolla.com/2303-mask?page=38;;https://www.sociolla.com/peel-off-mask/51674-peel-off-mask;Philocaly Skin;Peel Off Mask Peach 1KG;Peel Off Mask Peach 1KG;Rp285.000;null;null;null;null;null;null
1639396415-1242;https://www.sociolla.com/2303-mask?page=37;;https://www.sociolla.com/sleeping-mask/53256-lng-water-sleeping-mask-70ml-ol20;Laneige;LNG Water Sleeping Mask 70ml (OL20);LNG Water Sleeping Mask 70ml (OL20);Rp400.000;04.06;-18;15;Yes (12);No (1);Maybe (5)
1639396781-1300;https://www.sociolla.com/2303-mask?page=34;;https://www.sociolla.com/sheet-mask/17091-bio-solution-moisturizing-panthenol-mask-sheet;the saem;Bio Solution Moisturizing Panthenol Mask Sheet;Bio Solution Moisturizing Panthenol Mask Sheet;Rp22.900;04.00;-7;5;Yes (4);No (2);Maybe (1)
1639397373-1390;https://www.sociolla.com/2303-mask?page=28;;https://www.sociolla.com/sleeping-mask/14862-white-botanical-lightening-sleeping-mask-;Yves Rocher;White Botanical Lightening Sleeping Mask;White Botanical Lightening Sleeping Mask;Rp559.000;04.00;-1;1;Yes (0);No (0);Maybe (1)
1639399838-1770;https://www.sociolla.com/2303-mask?page=3;;https://www.sociolla.com/lip-mask/54535-choosy-lip-pack2-black-pearl-dry-and-chapped-lips;CHOOSY;CHOOSY Lip Pack Black Pearl (Dry & Chapped Lips);CHOOSY Lip Pack Black Pearl (Dry & Chapped Lips);Rp 19.900Rp 17.910;04.06;-56;44;Yes (44);No (6);Maybe (6)
1639396615-1274;https://www.sociolla.com/2303-mask?page=35;;https://www.sociolla.com/sheet-mask/49280-mat-na-giay-yuja-niacin;Some By Mi;Yuja Niacin Blemish Care Serum Mask;Yuja Niacin Blemish Care Serum Mask;Rp38.000;04.06;-15;11;Yes (14);No (0);Maybe (1)
1639399687-1746;https://www.sociolla.com/2303-mask?page=5;;https://www.sociolla.com/sheet-mask/57189-jacquelle-disney-edition-primer-lipo-mask;Jacquelle;Jacquelle Disney Edition Primer Lipo Mask;Jacquelle Disney Edition Primer Lipo Mask;Rp29.900;04.09;(1,8k);1065;Yes (1,7k);No (8);Maybe (58)
1639397794-1451;https://www.sociolla.com/2303-mask?page=24;;https://www.sociolla.com/sheet-mask/16486-facial-mask-revitalizing;Nuface;Facial Mask Revitalizing;Facial Mask Revitalizing;Rp 23.500Rp 13.160;04.02;-20;17;Yes (7);No (4);Maybe (9)
1639398559-1571;https://www.sociolla.com/2303-mask?page=17;;https://www.sociolla.com/sheet-mask/35066-tone-up-milk-mask;Pond's;Tone Up Milk Mask;Tone Up Milk Mask;Rp 19.000Rp 15.390;04.06;(2,8k);2770;Yes (2,2k);No (96);Maybe (532)
1639399138-1662;https://www.sociolla.com/2303-mask?page=11;;https://www.sociolla.com/sheet-mask/11437-pure-charcoal-black-rice;Garnier;Garnier Pure Charcoal Serum Mask Black Rice;Garnier Pure Charcoal Serum Mask Black Rice;Rp 20.900Rp 18.810;04.06;(1,1k);1066;Yes (858);No (56);Maybe (193)
